question_template,program,state,model,majority_answer,agreement_rate,sources,avg_confidence
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,RI,qwen/qwen3.6-plus:free,"The WIC program in Rhode Island is administered by the Rhode Island Department of Health (RIDOH). Public records requests for the agency are processed through the RIDOH Access to Public Records Act (APRA) office, which can typically be reached at apra@doh.ri.gov or via the official public records request form on the Rhode Island Department of Health website.",0.25,Rhode Island Department of Health (RIDOH) Official Website | Rhode Island Department of Health (doh.ri.gov) - Access to Public Records Act (APRA) Information | Rhode Island Department of Health (health.ri.gov) and Rhode Island Access to Public Records Act (APRA) guidelines | http://www.health.ri.gov,2.0
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,CA,qwen/qwen3.6-plus:free,The WIC program in California is administered by the California Department of Public Health (CDPH). Public Records Act requests for the department can be submitted via email to CDPHPublicRecords@cdph.ca.gov.,0.2,California Department of Public Health (CDPH) Official Website | California Department of Public Health (cdph.ca.gov) | California Department of Public Health (cdph.ca.gov) Public Records Act Request information | California Department of Public Health (cdph.ca.gov) and the California WIC Program (wic.ca.gov) | https://www.cdph.ca.gov/Programs/OPA/Pages/California-Public-Records-Act-Requests.aspx,2.0
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,NY,qwen/qwen3.6-plus:free,"In New York, the Special Supplemental Nutrition Program for Women, Infants, and Children (WIC) is administered by the New York State Department of Health (NYSDOH). Public records requests for the department, including WIC-related records, should be directed to the NYSDOH Freedom of Information Law (FOIL) Records Access Officer at the email address: FOIL@health.ny.gov.",0.2,New York State Department of Health - Bureau of Records Access / Freedom of Information Law (FOIL) Office | New York State Department of Health - Freedom of Information Law (FOIL) Information | New York State Department of Health - Freedom of Information Law (FOIL) Office | https://www.health.ny.gov/about/rights/foil/ | https://www.health.ny.gov/freedom_of_information_law/,2.8
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,TX,qwen/qwen3.6-plus:free,"In Texas, the WIC program is administered by the Texas Department of State Health Services (DSHS). Public records and open records requests for the agency should be directed to the DSHS Public Information Office at openrecords@dshs.texas.gov (or submitted through the official DSHS Open Records portal).",0.2,Texas Department of State Health Services (DSHS) - Open Records / Public Information Act Requests (dshs.texas.gov) | Texas Department of State Health Services (DSHS) - Public Information / Open Records | Texas Department of State Health Services (DSHS) - Public Information and Texas WIC Program | Texas Department of State Health Services (dshs.texas.gov) | https://www.dshs.texas.gov/records-statistics/open-records,2.2
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,MA,qwen/qwen3.6-plus:free,"In Massachusetts, LIHEAP (commonly known as the Fuel Assistance Program) is administered at the state level by the Department of Housing and Community Development (DHCD), which falls under the Executive Office of Housing and Livable Communities. The general public contact number for the state agency is (617) 573-1500. However, Massachusetts distributes LIHEAP benefits locally; rather than the state office, the public is strongly encouraged to call 2-1-1 or contact their local Community Action Agency (CAA) directly to apply for assistance.",0.2,Mass.gov (Executive Office of Housing and Livable Communities / Fuel Assistance Program) | https://www.mass.gov/fuel-assistance | https://www.mass.gov/service-details/apply-for-fuel-assistance | mass.gov - Executive Office of Housing and Livable Communities / Department of Housing and Community Development (Fuel Assistance Program) | mass.gov / Massachusetts Department of Housing and Community Development (DHCD) Fuel Assistance Program,2.6
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,RI,qwen/qwen3.6-plus:free,"In Rhode Island, LIHEAP is administered by the Office of Community Services within the Rhode Island Department of Human Services. The public can contact the state Energy Assistance program directly at 401-574-1620. For general inquiries regarding state public benefits, the Rhode Island Department of Human Services contact center can be reached at 401-462-3351.",0.2,"Rhode Island Department of Human Services (dhs.ri.gov) | Rhode Island Department of Human Services, Office of Energy Assistance (dhs.ri.gov) | https://dhs.ri.gov | https://dhs.ri.gov/",2.4
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,CA,qwen/qwen3.6-plus:free,"In California, the Low Income Home Energy Assistance Program (LIHEAP) is administered at the state level by the California Department of Community Services and Development (CSD). The public can contact the CSD headquarters for general program information at (916) 323-4750. Please note that actual LIHEAP applications and direct benefit services are managed by local Community Action Agencies (CAAs) and county-based organizations; therefore, the state agency typically directs applicants to locate and contact their specific local service provider through the official CSD provider directory.",0.2,California Department of Community Services and Development (CSD) Official Website (community.ca.gov) | California Department of Community Services and Development (CSD) official website (csd.ca.gov) | California Department of Community Services and Development (CSD) official website (csd.ca.gov) and the U.S. Department of Health & Human Services (HHS) Office of Community Services LIHEAP State Directory. | https://www.csd.ca.gov | https://www.csd.ca.gov/,2.4
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,NY,qwen/qwen3.6-plus:free,1-800-342-3009 (New York State HEAP Information Hotline),0.2,https://otda.ny.gov/programs/heap/,3.0
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,TX,qwen/qwen3.6-plus:free,"In Texas, LIHEAP (officially known as the Texas Energy Assistance Program or TEAP) is administered by the Texas Department of Housing and Community Affairs (TDHCA). The state directs the public to dial 2-1-1 to connect with 211 Texas, which will provide contact information for local LIHEAP service providers in their area. You can also contact the TDHCA Energy Assistance Program directly at (512) 475-3800.",0.2,Texas Department of Housing and Community Affairs (TDHCA) - Energy Assistance Program (https://www.tdhca.texas.gov/) | Texas Department of Housing and Community Affairs (TDHCA) Official Website - LIHEAP Program | https://hhs.texas.gov/services/financial/energy-assistance-program | https://www.tdhca.state.tx.us/cb/energy-assistance/index.htm | https://www.tdhca.state.tx.us/energy-assistance/index.htm,3.0
Which agency administers {program} in {state}?,SNAP,MA,meta-llama/llama-3.3-70b-instruct:free,,0.0,,
Which agency administers {program} in {state}?,SNAP,RI,meta-llama/llama-3.3-70b-instruct:free,,0.0,,
Which agency administers {program} in {state}?,SNAP,CA,meta-llama/llama-3.3-70b-instruct:free,,0.0,,
Which agency administers {program} in {state}?,SNAP,NY,meta-llama/llama-3.3-70b-instruct:free,,0.0,,
Which agency administers {program} in {state}?,SNAP,TX,meta-llama/llama-3.3-70b-instruct:free,,0.0,,
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,MA,meta-llama/llama-3.3-70b-instruct:free,,0.0,,
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,RI,meta-llama/llama-3.3-70b-instruct:free,,0.0,,
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,CA,meta-llama/llama-3.3-70b-instruct:free,,0.0,,
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,NY,meta-llama/llama-3.3-70b-instruct:free,,0.0,,
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,TX,meta-llama/llama-3.3-70b-instruct:free,,0.0,,
What is the state-level administration address for {program} in {state}?,SNAP,MA,openai/gpt-oss-120b:free,,0.0,,
What is the state-level administration address for {program} in {state}?,SNAP,MA,meta-llama/llama-3.3-70b-instruct:free,,0.0,,
What is the state-level administration address for {program} in {state}?,SNAP,RI,openai/gpt-oss-120b:free,,0.0,,
What is the state-level administration address for {program} in {state}?,SNAP,RI,meta-llama/llama-3.3-70b-instruct:free,,0.0,,
What is the state-level administration address for {program} in {state}?,SNAP,CA,openai/gpt-oss-120b:free,,0.0,,
What is the state-level administration address for {program} in {state}?,SNAP,CA,meta-llama/llama-3.3-70b-instruct:free,,0.0,,
What is the state-level administration address for {program} in {state}?,SNAP,NY,openai/gpt-oss-120b:free,,0.0,,
What is the state-level administration address for {program} in {state}?,SNAP,NY,meta-llama/llama-3.3-70b-instruct:free,,0.0,,
What is the state-level administration address for {program} in {state}?,SNAP,TX,openai/gpt-oss-120b:free,,0.0,,
What is the state-level administration address for {program} in {state}?,SNAP,TX,meta-llama/llama-3.3-70b-instruct:free,,0.0,,
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,MA,openai/gpt-oss-120b:free,,0.0,,
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,MA,meta-llama/llama-3.3-70b-instruct:free,,0.0,,
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,RI,openai/gpt-oss-120b:free,,0.0,,
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,RI,meta-llama/llama-3.3-70b-instruct:free,,0.0,,
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,CA,openai/gpt-oss-120b:free,,0.0,,
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,CA,meta-llama/llama-3.3-70b-instruct:free,,0.0,,
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,NY,openai/gpt-oss-120b:free,,0.0,,
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,NY,meta-llama/llama-3.3-70b-instruct:free,,0.0,,
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,TX,openai/gpt-oss-120b:free,,0.0,,
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,TX,meta-llama/llama-3.3-70b-instruct:free,,0.0,,
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,MA,openai/gpt-oss-120b:free,,0.0,,
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,MA,meta-llama/llama-3.3-70b-instruct:free,,0.0,,
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,RI,openai/gpt-oss-120b:free,,0.0,,
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,RI,meta-llama/llama-3.3-70b-instruct:free,,0.0,,
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,CA,openai/gpt-oss-120b:free,,0.0,,
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,CA,meta-llama/llama-3.3-70b-instruct:free,,0.0,,
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,NY,openai/gpt-oss-120b:free,,0.0,,
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,NY,meta-llama/llama-3.3-70b-instruct:free,,0.0,,
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,TX,openai/gpt-oss-120b:free,,0.0,,
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,TX,meta-llama/llama-3.3-70b-instruct:free,,0.0,,
