question_template,program,state,model,question_type,ground_truth,majority_answer,status,agreement_rate,avg_confidence
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,MA,qwen/qwen3.6-plus:free,response_time,10 business days with 20-30 business days extension,"Under the Massachusetts Public Records Act, state agencies, including those administering Medicaid (MassHealth), must respond to a public records request within 10 business days of receiving it. Within this timeframe, the agency's Records Access Officer must either grant access to the records, deny the request with a detailed explanation of the specific legal exemption being invoked (such as medical privacy laws), or provide written notice that the response will be delayed and provide an estimated date for when the records will be available.",correct,0.2,3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,MA,openai/gpt-oss-120b:free,response_time,10 business days with 20-30 business days extension,"Under Massachusetts public records law (Chapter 66, Section 20), agencies must respond to a request for public records within five business days. If additional time is needed, the agency may extend the response deadline by up to ten additional business days, provided it notifies the requester of the extension and the reason for it. This rule applies to records requests directed to the Department of Transitional Assistance, the Executive Office of Health and Human Services, and other agencies that administer Medicaid (MassHealth).",incorrect,0.5,3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,RI,qwen/qwen3.6-plus:free,response_time,10 business days with 20 business days extension,"Under Rhode Island's Access to Public Records Act (APRA), state agencies (including those administering Medicaid, such as the Executive Office of Health and Human Services) have 10 business days from the receipt of a request to respond. Within this timeframe, the agency must notify the requester whether the records exist and are available, provide the records, deny the request with a justification, or state that additional time is needed (which is typically limited to a maximum extension of 20 business days). Note that while the agency must respond within 10 business days, specific personal Medicaid medical records are heavily protected and often exempt from public disclosure under HIPAA and state privacy laws, or are subject to HIPAA's 30-day timeline if requested directly by the patient for their own records.",correct,0.2,3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,RI,openai/gpt-oss-120b:free,response_time,10 business days with 20 business days extension,"Rhode Island law requires state agencies, including the Department of Human Services (which processes Medicaid requests), to respond to a public records request within 20 business days of receiving the request.",incorrect,0.33,3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,CA,qwen/qwen3.6-plus:free,response_time,10 calendar days  with 14 calendar days extension,"In California, agencies have 10 calendar days from the receipt of a public records request to determine whether they possess disclosable records and to notify the requester, in accordance with the California Public Records Act (Government Code Section 6253(c)). Medicaid is administered as Medi-Cal in California, and records held by state agencies (such as the Department of Health Care Services) or county departments are subject to this timeline. If an agency encounters unusual circumstances that prevent them from fulfilling the request within the initial 10 days, they may extend the timeframe by an additional 14 days, provided they give the requester written notice detailing the reasons for the delay.",correct,0.2,3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,CA,openai/gpt-oss-120b:free,response_time,10 calendar days  with 14 calendar days extension,"Under the California Public Records Act, agencies such as the Department of Health Care Services (DHCS) must respond to public records requests within 10 calendar days of receipt, unless extensions are granted for clarification or to gather records.",correct,1.0,3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,NY,qwen/qwen3.6-plus:free,response_time,5 business days with 15 business days extension,"Under New York State's Freedom of Information Law (FOIL), agencies have five business days from the receipt of a request to respond. Within this five business-day window, the agency must either make the requested Medicaid records available for copying, deny the request in writing with an explanation of the reasons for the denial, or provide a written acknowledgment of receipt and a reasonable estimated date for when the request will be granted or denied. (Note: While the agency must respond within this timeframe, specific individual Medicaid beneficiary records are generally exempt from public disclosure under FOIL due to strict federal HIPAA and state Social Services Law privacy protections.)",correct,0.2,3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,NY,openai/gpt-oss-120b:free,response_time,5 business days with 15 business days extension,"Under New York’s Freedom of Information Law (FOIL), agencies must respond to a request for public records – including Medicaid records – within five business days after the request is deemed complete. If the agency needs more time, it must provide a written estimate of the additional time required.",correct,0.2,3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,TX,qwen/qwen3.6-plus:free,response_time,10 business days,"In Texas, state agencies—including the Texas Health and Human Services Commission (HHSC), which administers Medicaid—generally have 10 business days to respond to a written public records request. This timeframe is mandated by the Texas Public Information Act (Texas Government Code, Chapter 552).",correct,0.2,3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,TX,openai/gpt-oss-120b:free,response_time,10 business days,"Under Texas Government Code §552.102, agencies must respond to a public records request within 10 business days. If the request involves a large volume of records, the agency may extend the response time by an additional 10 business days, but must notify the requester of the extension and the reason for it.",correct,0.5,3.0
What is the state-level administration address for {program} in {state}?,SNAP,MA,qwen/qwen3.6-plus:free,address,"DTA Document Processing Center
P.O. Box 4406
Taunton, MA 02780-0420","In Massachusetts, the Supplemental Nutrition Assistance Program (SNAP) is administered by the Department of Transitional Assistance (DTA). The department's state-level headquarters is located at 600 Washington Street, Boston, MA 02111. The official central mailing address for SNAP documents, applications, and correspondence is DTA Correspondence, P.O. Box 4406, Boston, MA 02101.",correct,0.25,2.75
What is the state-level administration address for {program} in {state}?,SNAP,RI,qwen/qwen3.6-plus:free,address,"RI Department of Human Services
P.O. Box 8709
Cranston, RI 02920-8787","Rhode Island Department of Human Services, 1511 Pontiac Avenue, Cranston, RI 02920",correct,0.2,3.0
What is the state-level administration address for {program} in {state}?,SNAP,CA,qwen/qwen3.6-plus:free,address,"California Department of Social Services
744 P Street
Sacramento, CA 95814","In California, the SNAP program is known as CalFresh and is administered by the California Department of Social Services (CDSS). The state-level administrative headquarters address is: California Department of Social Services, 744 P Street, Sacramento, CA 95814.",correct,0.2,3.0
What is the state-level administration address for {program} in {state}?,SNAP,NY,qwen/qwen3.6-plus:free,address,"New York State Office of Temporary and Disability Assistance
40 North Pearl Street
Albany, NY 12243","In New York State, the SNAP program is administered at the state level by the Office of Temporary and Disability Assistance (OTDA). The state-level administrative headquarters address is: 520 Washington Street, 2nd Floor, Albany, NY 12243. (Note: While this is the main state administrative office, SNAP applications and day-to-day case management are handled by local county Departments of Social Services).",correct,0.2,3.0
What is the state-level administration address for {program} in {state}?,SNAP,TX,qwen/qwen3.6-plus:free,address,"Texas Health and Human Services Commission
P.O. Box 149027
Austin, TX 78714-9027","In Texas, SNAP is administered by the Texas Health and Human Services Commission (HHSC). The central state-level administration physical address is 701 West 51st Street, Austin, TX 78746. For official mail and correspondence regarding the commission, the mailing address is P.O. Box 149030, Austin, TX 78714-9030.",correct,0.2,3.0
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,MA,qwen/qwen3.6-plus:free,email,DPH.RAO@state.ma.us,"In Massachusetts, the WIC (Women, Infants, and Children) program is administered by the Massachusetts Department of Public Health (DPH). Public records requests for the department, including the WIC program, should be directed to the DPH Public Records Supervisor. The official email address to submit these requests is DPH.PublicRecords@state.ma.us. Requests can also be submitted electronically through the official online public records request portal on Mass.gov.",incorrect,0.2,2.2
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,RI,qwen/qwen3.6-plus:free,email,pamela.lopes@health.ri.gov,"The WIC program in Rhode Island is administered by the Rhode Island Department of Health (RIDOH). Public records requests for the agency are processed through the RIDOH Access to Public Records Act (APRA) office, which can typically be reached at apra@doh.ri.gov or via the official public records request form on the Rhode Island Department of Health website.",incorrect,0.25,2.0
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,CA,qwen/qwen3.6-plus:free,email,WIC@cdph.ca.gov,The WIC program in California is administered by the California Department of Public Health (CDPH). Public Records Act requests for the department can be submitted via email to CDPHPublicRecords@cdph.ca.gov.,incorrect,0.2,2.0
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,NY,qwen/qwen3.6-plus:free,email,foil@health.ny.gov,"In New York, the Special Supplemental Nutrition Program for Women, Infants, and Children (WIC) is administered by the New York State Department of Health (NYSDOH). Public records requests for the department, including WIC-related records, should be directed to the NYSDOH Freedom of Information Law (FOIL) Records Access Officer at the email address: FOIL@health.ny.gov.",correct,0.2,2.8
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,TX,qwen/qwen3.6-plus:free,email,OpenRecordsRequest@hhs.texas.gov,"In Texas, the WIC program is administered by the Texas Department of State Health Services (DSHS). Public records and open records requests for the agency should be directed to the DSHS Public Information Office at openrecords@dshs.texas.gov (or submitted through the official DSHS Open Records portal).",incorrect,0.2,2.2
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,MA,qwen/qwen3.6-plus:free,phone,(800) 632-8175,"In Massachusetts, LIHEAP (commonly known as the Fuel Assistance Program) is administered at the state level by the Department of Housing and Community Development (DHCD), which falls under the Executive Office of Housing and Livable Communities. The general public contact number for the state agency is (617) 573-1500. However, Massachusetts distributes LIHEAP benefits locally; rather than the state office, the public is strongly encouraged to call 2-1-1 or contact their local Community Action Agency (CAA) directly to apply for assistance.",incorrect,0.2,2.6
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,RI,qwen/qwen3.6-plus:free,phone,1-855-697-4347,"In Rhode Island, LIHEAP is administered by the Office of Community Services within the Rhode Island Department of Human Services. The public can contact the state Energy Assistance program directly at 401-574-1620. For general inquiries regarding state public benefits, the Rhode Island Department of Human Services contact center can be reached at 401-462-3351.",incorrect,0.2,2.4
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,CA,qwen/qwen3.6-plus:free,phone,1-866-675-6623,"In California, the Low Income Home Energy Assistance Program (LIHEAP) is administered at the state level by the California Department of Community Services and Development (CSD). The public can contact the CSD headquarters for general program information at (916) 323-4750. Please note that actual LIHEAP applications and direct benefit services are managed by local Community Action Agencies (CAAs) and county-based organizations; therefore, the state agency typically directs applicants to locate and contact their specific local service provider through the official CSD provider directory.",incorrect,0.2,2.4
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,NY,qwen/qwen3.6-plus:free,phone,1-800-342-3009,1-800-342-3009 (New York State HEAP Information Hotline),correct,0.2,3.0
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,TX,qwen/qwen3.6-plus:free,phone,1-877-399-8939,"In Texas, LIHEAP (officially known as the Texas Energy Assistance Program or TEAP) is administered by the Texas Department of Housing and Community Affairs (TDHCA). The state directs the public to dial 2-1-1 to connect with 211 Texas, which will provide contact information for local LIHEAP service providers in their area. You can also contact the TDHCA Energy Assistance Program directly at (512) 475-3800.",incorrect,0.2,3.0
Which agency administers {program} in {state}?,SNAP,MA,meta-llama/llama-3.3-70b-instruct:free,agency,The Massachusetts Department of Transitional Assistance (DTA),,no_answer,0.0,
Which agency administers {program} in {state}?,SNAP,RI,meta-llama/llama-3.3-70b-instruct:free,agency,The Rhode Island Department of Human Services (DHS),,no_answer,0.0,
Which agency administers {program} in {state}?,SNAP,CA,meta-llama/llama-3.3-70b-instruct:free,agency,The California Department of Social Services (CDSS),,no_answer,0.0,
Which agency administers {program} in {state}?,SNAP,NY,meta-llama/llama-3.3-70b-instruct:free,agency,The New York State Office of Temporary and Disability Assistance (OTDA),,no_answer,0.0,
Which agency administers {program} in {state}?,SNAP,TX,meta-llama/llama-3.3-70b-instruct:free,agency,The Texas Health and Human Services Commission (HHSC),,no_answer,0.0,
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,MA,meta-llama/llama-3.3-70b-instruct:free,response_time,10 business days with 20-30 business days extension,,no_answer,0.0,
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,RI,meta-llama/llama-3.3-70b-instruct:free,response_time,10 business days with 20 business days extension,,no_answer,0.0,
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,CA,meta-llama/llama-3.3-70b-instruct:free,response_time,10 calendar days  with 14 calendar days extension,,no_answer,0.0,
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,NY,meta-llama/llama-3.3-70b-instruct:free,response_time,5 business days with 15 business days extension,,no_answer,0.0,
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,TX,meta-llama/llama-3.3-70b-instruct:free,response_time,10 business days,,no_answer,0.0,
What is the state-level administration address for {program} in {state}?,SNAP,MA,openai/gpt-oss-120b:free,address,"DTA Document Processing Center
P.O. Box 4406
Taunton, MA 02780-0420",,no_answer,0.0,
What is the state-level administration address for {program} in {state}?,SNAP,MA,meta-llama/llama-3.3-70b-instruct:free,address,"DTA Document Processing Center
P.O. Box 4406
Taunton, MA 02780-0420",,no_answer,0.0,
What is the state-level administration address for {program} in {state}?,SNAP,RI,openai/gpt-oss-120b:free,address,"RI Department of Human Services
P.O. Box 8709
Cranston, RI 02920-8787",,no_answer,0.0,
What is the state-level administration address for {program} in {state}?,SNAP,RI,meta-llama/llama-3.3-70b-instruct:free,address,"RI Department of Human Services
P.O. Box 8709
Cranston, RI 02920-8787",,no_answer,0.0,
What is the state-level administration address for {program} in {state}?,SNAP,CA,openai/gpt-oss-120b:free,address,"California Department of Social Services
744 P Street
Sacramento, CA 95814",,no_answer,0.0,
What is the state-level administration address for {program} in {state}?,SNAP,CA,meta-llama/llama-3.3-70b-instruct:free,address,"California Department of Social Services
744 P Street
Sacramento, CA 95814",,no_answer,0.0,
What is the state-level administration address for {program} in {state}?,SNAP,NY,openai/gpt-oss-120b:free,address,"New York State Office of Temporary and Disability Assistance
40 North Pearl Street
Albany, NY 12243",,no_answer,0.0,
What is the state-level administration address for {program} in {state}?,SNAP,NY,meta-llama/llama-3.3-70b-instruct:free,address,"New York State Office of Temporary and Disability Assistance
40 North Pearl Street
Albany, NY 12243",,no_answer,0.0,
What is the state-level administration address for {program} in {state}?,SNAP,TX,openai/gpt-oss-120b:free,address,"Texas Health and Human Services Commission
P.O. Box 149027
Austin, TX 78714-9027",,no_answer,0.0,
What is the state-level administration address for {program} in {state}?,SNAP,TX,meta-llama/llama-3.3-70b-instruct:free,address,"Texas Health and Human Services Commission
P.O. Box 149027
Austin, TX 78714-9027",,no_answer,0.0,
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,MA,openai/gpt-oss-120b:free,email,DPH.RAO@state.ma.us,,no_answer,0.0,
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,MA,meta-llama/llama-3.3-70b-instruct:free,email,DPH.RAO@state.ma.us,,no_answer,0.0,
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,RI,openai/gpt-oss-120b:free,email,pamela.lopes@health.ri.gov,,no_answer,0.0,
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,RI,meta-llama/llama-3.3-70b-instruct:free,email,pamela.lopes@health.ri.gov,,no_answer,0.0,
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,CA,openai/gpt-oss-120b:free,email,WIC@cdph.ca.gov,,no_answer,0.0,
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,CA,meta-llama/llama-3.3-70b-instruct:free,email,WIC@cdph.ca.gov,,no_answer,0.0,
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,NY,openai/gpt-oss-120b:free,email,foil@health.ny.gov,,no_answer,0.0,
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,NY,meta-llama/llama-3.3-70b-instruct:free,email,foil@health.ny.gov,,no_answer,0.0,
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,TX,openai/gpt-oss-120b:free,email,OpenRecordsRequest@hhs.texas.gov,,no_answer,0.0,
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,TX,meta-llama/llama-3.3-70b-instruct:free,email,OpenRecordsRequest@hhs.texas.gov,,no_answer,0.0,
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,MA,openai/gpt-oss-120b:free,phone,(800) 632-8175,,no_answer,0.0,
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,MA,meta-llama/llama-3.3-70b-instruct:free,phone,(800) 632-8175,,no_answer,0.0,
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,RI,openai/gpt-oss-120b:free,phone,1-855-697-4347,,no_answer,0.0,
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,RI,meta-llama/llama-3.3-70b-instruct:free,phone,1-855-697-4347,,no_answer,0.0,
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,CA,openai/gpt-oss-120b:free,phone,1-866-675-6623,,no_answer,0.0,
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,CA,meta-llama/llama-3.3-70b-instruct:free,phone,1-866-675-6623,,no_answer,0.0,
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,NY,openai/gpt-oss-120b:free,phone,1-800-342-3009,,no_answer,0.0,
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,NY,meta-llama/llama-3.3-70b-instruct:free,phone,1-800-342-3009,,no_answer,0.0,
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,TX,openai/gpt-oss-120b:free,phone,1-877-399-8939,,no_answer,0.0,
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,TX,meta-llama/llama-3.3-70b-instruct:free,phone,1-877-399-8939,,no_answer,0.0,
