question_template,program,state,model,run_number,prompt_sent,response_json,answer_extracted,source,confidence,timestamp,error
Which agency administers {program} in {state}?,SNAP,NY,openai/gpt-oss-120b:free,1,Which agency administers SNAP in New York?,"{
  ""answer"": ""In New York, the Supplemental Nutrition Assistance Program (SNAP) is administered by the New York State Office of Temporary and Disability Assistance (OTDA), which is part of the New York State Department of Social Services (NYSDSS)."",
  ""source"": ""https://otda.ny.gov/programs/snap/"",
  ""confidence"": ""high""
}","In New York, the Supplemental Nutrition Assistance Program (SNAP) is administered by the New York State Office of Temporary and Disability Assistance (OTDA), which is part of the New York State Department of Social Services (NYSDSS).",https://otda.ny.gov/programs/snap/,high,2026-04-06T02:47:58.519699+00:00,
Which agency administers {program} in {state}?,SNAP,NY,openai/gpt-oss-120b:free,2,Which agency administers SNAP in New York?,"{
  ""answer"": ""The New York State Office of Temporary and Disability Assistance (OTDA), which is part of the New York State Department of Social Services, administers the Supplemental Nutrition Assistance Program (SNAP) in New York."",
  ""source"": ""https://otda.ny.gov/programs/snap/"",
  ""confidence"": ""high""
}","The New York State Office of Temporary and Disability Assistance (OTDA), which is part of the New York State Department of Social Services, administers the Supplemental Nutrition Assistance Program (SNAP) in New York.",https://otda.ny.gov/programs/snap/,high,2026-04-06T02:48:02.631066+00:00,
Which agency administers {program} in {state}?,SNAP,NY,openai/gpt-oss-120b:free,3,Which agency administers SNAP in New York?,"{
  ""answer"": ""The New York State Office of Temporary and Disability Assistance (OTDA) administers the Supplemental Nutrition Assistance Program (SNAP) in New York."",
  ""source"": ""https://otda.ny.gov/programs/food-assistance/snap/"",
  ""confidence"": ""high""
}",The New York State Office of Temporary and Disability Assistance (OTDA) administers the Supplemental Nutrition Assistance Program (SNAP) in New York.,https://otda.ny.gov/programs/food-assistance/snap/,high,2026-04-06T02:48:06.692892+00:00,
Which agency administers {program} in {state}?,SNAP,NY,openai/gpt-oss-120b:free,4,Which agency administers SNAP in New York?,"{
  ""answer"": ""The New York State Office of Temporary and Disability Assistance (OTDA), specifically its Food and Nutrition Services (FNS) division, administers the Supplemental Nutrition Assistance Program (SNAP) in New York."",
  ""source"": ""https://otda.ny.gov/programs/snap/"",
  ""confidence"": ""high""
}","The New York State Office of Temporary and Disability Assistance (OTDA), specifically its Food and Nutrition Services (FNS) division, administers the Supplemental Nutrition Assistance Program (SNAP) in New York.",https://otda.ny.gov/programs/snap/,high,2026-04-06T02:48:10.708970+00:00,
Which agency administers {program} in {state}?,SNAP,NY,openai/gpt-oss-120b:free,5,Which agency administers SNAP in New York?,"{
  ""answer"": ""The New York State Office of Temporary and Disability Assistance (OTDA), which is part of the New York State Department of Social Services, administers the Supplemental Nutrition Assistance Program (SNAP) in New York."",
  ""source"": ""https://ogs.ny.gov/food-assistance/supplemental-nutrition-assistance-program-snap"",
  ""confidence"": ""high""
}","The New York State Office of Temporary and Disability Assistance (OTDA), which is part of the New York State Department of Social Services, administers the Supplemental Nutrition Assistance Program (SNAP) in New York.",https://ogs.ny.gov/food-assistance/supplemental-nutrition-assistance-program-snap,high,2026-04-06T02:48:15.178061+00:00,
Which agency administers {program} in {state}?,SNAP,TX,openai/gpt-oss-120b:free,1,Which agency administers SNAP in Texas?,"{
  ""answer"": ""The Supplemental Nutrition Assistance Program (SNAP) in Texas is administered by the Texas Health and Human Services Commission (HHSC)."",
  ""source"": ""https://hhs.texas.gov/services/food/snap-texas"",
  ""confidence"": ""high""
}",The Supplemental Nutrition Assistance Program (SNAP) in Texas is administered by the Texas Health and Human Services Commission (HHSC).,https://hhs.texas.gov/services/food/snap-texas,high,2026-04-06T02:50:16.005615+00:00,
Which agency administers {program} in {state}?,SNAP,TX,openai/gpt-oss-120b:free,2,Which agency administers SNAP in Texas?,"{
  ""answer"": ""The Texas Health and Human Services Commission (HHSC) administers the Supplemental Nutrition Assistance Program (SNAP) in Texas."",
  ""source"": ""https://hhs.texas.gov/services/food/nutrition-assistance/snap"",
  ""confidence"": ""high""
}",The Texas Health and Human Services Commission (HHSC) administers the Supplemental Nutrition Assistance Program (SNAP) in Texas.,https://hhs.texas.gov/services/food/nutrition-assistance/snap,high,2026-04-06T02:50:20.009992+00:00,
Which agency administers {program} in {state}?,SNAP,TX,openai/gpt-oss-120b:free,3,Which agency administers SNAP in Texas?,"{
  ""answer"": ""The Supplemental Nutrition Assistance Program (SNAP) in Texas is administered by the Texas Health and Human Services Commission (HHSC)."",
  ""source"": ""https://hhs.texas.gov/food-nutrition/food-assistance-programs/snap-texas"",
  ""confidence"": ""high""
}",The Supplemental Nutrition Assistance Program (SNAP) in Texas is administered by the Texas Health and Human Services Commission (HHSC).,https://hhs.texas.gov/food-nutrition/food-assistance-programs/snap-texas,high,2026-04-06T02:50:23.756343+00:00,
Which agency administers {program} in {state}?,SNAP,TX,openai/gpt-oss-120b:free,4,Which agency administers SNAP in Texas?,"{
  ""answer"": ""In Texas, the Supplemental Nutrition Assistance Program (SNAP) is administered by the Texas Health and Human Services Commission (HHSC), specifically through its Food Assistance division."",
  ""source"": ""https://hhs.texas.gov/services/food/supplemental-nutrition-assistance-program-snap"",
  ""confidence"": ""high""
}","In Texas, the Supplemental Nutrition Assistance Program (SNAP) is administered by the Texas Health and Human Services Commission (HHSC), specifically through its Food Assistance division.",https://hhs.texas.gov/services/food/supplemental-nutrition-assistance-program-snap,high,2026-04-06T02:50:27.949369+00:00,
Which agency administers {program} in {state}?,SNAP,TX,openai/gpt-oss-120b:free,5,Which agency administers SNAP in Texas?,"{
  ""answer"": ""The Texas Health and Human Services Commission (HHSC) administers the Supplemental Nutrition Assistance Program (SNAP) in Texas."",
  ""source"": ""https://hhs.texas.gov/food-assistance/snap"",
  ""confidence"": ""high""
}",The Texas Health and Human Services Commission (HHSC) administers the Supplemental Nutrition Assistance Program (SNAP) in Texas.,https://hhs.texas.gov/food-assistance/snap,high,2026-04-06T02:50:31.682374+00:00,
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,MA,openai/gpt-oss-120b:free,1,"In Massachusetts, how much time do agencies have to respond to public records requests on Medicaid?","{
  ""answer"": ""Under Massachusetts public records law (Chapter 66, Section 20), agencies must respond to a request for public records within five business days. If additional time is needed, the agency may extend the response deadline by up to ten additional business days, provided it notifies the requester of the extension and the reason for it. This rule applies to records requests directed to the Department of Transitional Assistance, the Executive Office of Health and Human Services, and other agencies that administer Medicaid (MassHealth)."",
  ""source"": ""https://www.mass.gov/doc/chapter-66-public-records-law-2023/pdf"",
  ""confidence"": ""high""
}","Under Massachusetts public records law (Chapter 66, Section 20), agencies must respond to a request for public records within five business days. If additional time is needed, the agency may extend the response deadline by up to ten additional business days, provided it notifies the requester of the extension and the reason for it. This rule applies to records requests directed to the Department of Transitional Assistance, the Executive Office of Health and Human Services, and other agencies that administer Medicaid (MassHealth).",https://www.mass.gov/doc/chapter-66-public-records-law-2023/pdf,high,2026-04-06T02:53:39.726986+00:00,
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,MA,openai/gpt-oss-120b:free,2,"In Massachusetts, how much time do agencies have to respond to public records requests on Medicaid?","{""query"": ""Massachusetts agencies response time public records request Medicaid"", ""topn"": 5, ""source"": ""news""}",,news,,2026-04-06T02:53:42.877598+00:00,
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,MA,openai/gpt-oss-120b:free,5,"In Massachusetts, how much time do agencies have to respond to public records requests on Medicaid?","{
  ""answer"": ""Under Massachusetts public records law, agencies must respond to a request for public records, including Medicaid records, within 10 business days of receipt of the request."",
  ""source"": ""https://www.mass.gov/public-records-law"",
  ""confidence"": ""high""
}","Under Massachusetts public records law, agencies must respond to a request for public records, including Medicaid records, within 10 business days of receipt of the request.",https://www.mass.gov/public-records-law,high,2026-04-06T02:53:57.468077+00:00,
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,RI,openai/gpt-oss-120b:free,1,"In Rhode Island, how much time do agencies have to respond to public records requests on Medicaid?","{
  ""answer"": ""Under Rhode Island law, agencies must respond to public records requests concerning Medicaid within five business days after the request is received, unless an extension is granted for a valid reason."",
  ""source"": ""https://www.ri.gov/records/ (Rhode Island Public Records Law, § 38-2.2)"",
  ""confidence"": ""high""
}","Under Rhode Island law, agencies must respond to public records requests concerning Medicaid within five business days after the request is received, unless an extension is granted for a valid reason.","https://www.ri.gov/records/ (Rhode Island Public Records Law, § 38-2.2)",high,2026-04-06T02:57:48.659981+00:00,
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,RI,openai/gpt-oss-120b:free,4,"In Rhode Island, how much time do agencies have to respond to public records requests on Medicaid?","{
  ""answer"": ""Rhode Island law requires state agencies, including the Department of Human Services (which processes Medicaid requests), to respond to a public records request within 20 business days of receiving the request."",
  ""source"": ""https://www.ri.gov/records/ (Rhode Island Public Records Act guidelines) and https://dhs.ri.gov/ (Department of Human Services public records policy)"",
  ""confidence"": ""high""
}","Rhode Island law requires state agencies, including the Department of Human Services (which processes Medicaid requests), to respond to a public records request within 20 business days of receiving the request.",https://www.ri.gov/records/ (Rhode Island Public Records Act guidelines) and https://dhs.ri.gov/ (Department of Human Services public records policy),high,2026-04-06T02:58:04.398635+00:00,
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,RI,openai/gpt-oss-120b:free,5,"In Rhode Island, how much time do agencies have to respond to public records requests on Medicaid?","{
  ""answer"": ""Rhode Island state agencies must respond to public records requests within five (5) business days, as required by the Rhode Island Access to Public Records Act, and this includes requests for Medicaid records."",
  ""source"": ""https://www.rilegislature.gov/Statutes/Titles/38/38-2-4.HTM"",
  ""confidence"": ""high""
}","Rhode Island state agencies must respond to public records requests within five (5) business days, as required by the Rhode Island Access to Public Records Act, and this includes requests for Medicaid records.",https://www.rilegislature.gov/Statutes/Titles/38/38-2-4.HTM,high,2026-04-06T02:58:08.715741+00:00,
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,CA,openai/gpt-oss-120b:free,4,"In California, how much time do agencies have to respond to public records requests on Medicaid?","{
  ""answer"": ""Under the California Public Records Act, agencies such as the Department of Health Care Services (DHCS) must respond to public records requests within 10 calendar days of receipt, unless extensions are granted for clarification or to gather records."",
  ""source"": ""https://www.dhcs.ca.gov/Pages/FOIA.aspx (California Department of Health Care Services FOIA page)"",
  ""confidence"": ""high""
}","Under the California Public Records Act, agencies such as the Department of Health Care Services (DHCS) must respond to public records requests within 10 calendar days of receipt, unless extensions are granted for clarification or to gather records.",https://www.dhcs.ca.gov/Pages/FOIA.aspx (California Department of Health Care Services FOIA page),high,2026-04-06T03:03:13.292705+00:00,
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,NY,openai/gpt-oss-120b:free,1,"In New York, how much time do agencies have to respond to public records requests on Medicaid?","{
  ""answer"": ""Under New York’s Freedom of Information Law (FOIL), agencies must respond to a request for public records, including Medicaid records, within five business days after the request is received, unless an extension is granted by the agency."",
  ""source"": ""https://www.dos.ny.gov/foi/foi.html (New York Department of State, Freedom of Information Law – response time requirements)"",
  ""confidence"": ""high""
}","Under New York’s Freedom of Information Law (FOIL), agencies must respond to a request for public records, including Medicaid records, within five business days after the request is received, unless an extension is granted by the agency.","https://www.dos.ny.gov/foi/foi.html (New York Department of State, Freedom of Information Law – response time requirements)",high,2026-04-06T03:06:46.206700+00:00,
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,NY,openai/gpt-oss-120b:free,2,"In New York, how much time do agencies have to respond to public records requests on Medicaid?","{
  ""answer"": ""Under New York’s Freedom of Information Law (FOIL), state agencies—including those that handle Medicaid requests—must respond to a public records request within five business days, either by providing the records, denying the request, or stating that additional time is needed."",
  ""source"": ""https://www.dos.ny.gov/openrecords/foillaw.html (New York Department of State, Freedom of Information Law)"",
  ""confidence"": ""high""
}","Under New York’s Freedom of Information Law (FOIL), state agencies—including those that handle Medicaid requests—must respond to a public records request within five business days, either by providing the records, denying the request, or stating that additional time is needed.","https://www.dos.ny.gov/openrecords/foillaw.html (New York Department of State, Freedom of Information Law)",high,2026-04-06T03:06:53.828284+00:00,
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,NY,openai/gpt-oss-120b:free,3,"In New York, how much time do agencies have to respond to public records requests on Medicaid?","{
  ""answer"": ""Under New York’s Freedom of Information Law (FOIL), agencies – including the New York State Department of Health and its Medicaid offices – must respond to public records requests within five business days of receipt. If additional time is needed, the agency must provide a written notice of the extension and the reason for it."",
  ""source"": ""https://www.ny.gov/freedom-information-law-foil and https://www.health.ny.gov/about/foi.htm (New York State Department of Health FOIL page)"",
  ""confidence"": ""high""
}","Under New York’s Freedom of Information Law (FOIL), agencies – including the New York State Department of Health and its Medicaid offices – must respond to public records requests within five business days of receipt. If additional time is needed, the agency must provide a written notice of the extension and the reason for it.",https://www.ny.gov/freedom-information-law-foil and https://www.health.ny.gov/about/foi.htm (New York State Department of Health FOIL page),high,2026-04-06T03:06:59.709430+00:00,
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,NY,openai/gpt-oss-120b:free,4,"In New York, how much time do agencies have to respond to public records requests on Medicaid?","{
  ""answer"": ""Under New York’s Freedom of Information Law (FOIL), agencies, including those that administer Medicaid, must respond to a public records request within five (5) business days after the request is received, unless additional time is needed to locate, review, or exempt the records."",
  ""source"": ""https://www.opr.ny.gov/foi/foi-law"",
  ""confidence"": ""high""
}","Under New York’s Freedom of Information Law (FOIL), agencies, including those that administer Medicaid, must respond to a public records request within five (5) business days after the request is received, unless additional time is needed to locate, review, or exempt the records.",https://www.opr.ny.gov/foi/foi-law,high,2026-04-06T03:07:05.073429+00:00,
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,NY,openai/gpt-oss-120b:free,5,"In New York, how much time do agencies have to respond to public records requests on Medicaid?","{
  ""answer"": ""Under New York’s Freedom of Information Law (FOIL), agencies must respond to a request for public records – including Medicaid records – within five business days after the request is deemed complete. If the agency needs more time, it must provide a written estimate of the additional time required."",
  ""source"": ""https://www.dhs.ny.gov/openrecords/freedom-of-information-law-foil"",
  ""confidence"": ""high""
}","Under New York’s Freedom of Information Law (FOIL), agencies must respond to a request for public records – including Medicaid records – within five business days after the request is deemed complete. If the agency needs more time, it must provide a written estimate of the additional time required.",https://www.dhs.ny.gov/openrecords/freedom-of-information-law-foil,high,2026-04-06T03:07:09.958605+00:00,
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,TX,openai/gpt-oss-120b:free,2,"In Texas, how much time do agencies have to respond to public records requests on Medicaid?","{
  ""answer"": ""Under the Texas Public Information Act, state agencies—including the Texas Health and Human Services Commission, which processes Medicaid requests—must respond to public records requests within 10 business days, unless an extension is granted for a good cause."",
  ""source"": ""https://www.texasattorneygeneral.gov/sites/default/files/files/consumer/public_information_act/pia_faq.pdf"",
  ""confidence"": ""high""
}","Under the Texas Public Information Act, state agencies—including the Texas Health and Human Services Commission, which processes Medicaid requests—must respond to public records requests within 10 business days, unless an extension is granted for a good cause.",https://www.texasattorneygeneral.gov/sites/default/files/files/consumer/public_information_act/pia_faq.pdf,high,2026-04-06T03:09:56.909080+00:00,
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,TX,openai/gpt-oss-120b:free,3,"In Texas, how much time do agencies have to respond to public records requests on Medicaid?","{
  ""answer"": ""Under Texas Government Code §552.102, agencies must respond to a public records request within 10 business days. If the request involves a large volume of records, the agency may extend the response time by an additional 10 business days, but must notify the requester of the extension and the reason for it."",
  ""source"": ""https://statutes.capitol.texas.gov/Docs/GV/htm/GV.552.htm#552.102"",
  ""confidence"": ""high""
}","Under Texas Government Code §552.102, agencies must respond to a public records request within 10 business days. If the request involves a large volume of records, the agency may extend the response time by an additional 10 business days, but must notify the requester of the extension and the reason for it.",https://statutes.capitol.texas.gov/Docs/GV/htm/GV.552.htm#552.102,high,2026-04-06T03:10:01.922979+00:00,
Which agency administers {program} in {state}?,SNAP,MA,openai/gpt-oss-120b:free,1,Which agency administers SNAP in Massachusetts?,"Search web.{
  ""answer"": ""The Supplemental Nutrition Assistance Program (SNAP) in Massachusetts is administered by the Massachusetts Department of Transitional Assistance (DTA)."",
  ""source"": ""https://www.mass.gov/orgs/department-of-transitional-assistance"",
  ""confidence"": ""high""
}",The Supplemental Nutrition Assistance Program (SNAP) in Massachusetts is administered by the Massachusetts Department of Transitional Assistance (DTA).,https://www.mass.gov/orgs/department-of-transitional-assistance,high,2026-04-12T18:12:42.164838+00:00,
Which agency administers {program} in {state}?,SNAP,MA,openai/gpt-oss-120b:free,2,Which agency administers SNAP in Massachusetts?,"{
  ""answer"": ""The Massachusetts Department of Transitional Assistance (DTA) administers SNAP (the Supplemental Nutrition Assistance Program) in Massachusetts."",
  ""source"": ""https://www.mass.gov/orgs/department-of-transitional-assistance"",
  ""confidence"": ""high""
}",The Massachusetts Department of Transitional Assistance (DTA) administers SNAP (the Supplemental Nutrition Assistance Program) in Massachusetts.,https://www.mass.gov/orgs/department-of-transitional-assistance,high,2026-04-12T18:13:08.818484+00:00,
Which agency administers {program} in {state}?,SNAP,RI,openai/gpt-oss-120b:free,2,Which agency administers SNAP in Rhode Island?,"Search web.{
  ""answer"": ""The Rhode Island Department of Human Services (RIDHS), specifically its Division of Nutrition Assistance, administers SNAP in Rhode Island."",
  ""source"": ""https://dhs.ri.gov/divisions/division-of-nutrition-assistance"",
  ""confidence"": ""high""
}","The Rhode Island Department of Human Services (RIDHS), specifically its Division of Nutrition Assistance, administers SNAP in Rhode Island.",https://dhs.ri.gov/divisions/division-of-nutrition-assistance,high,2026-04-12T18:13:56.545647+00:00,
Which agency administers {program} in {state}?,SNAP,RI,openai/gpt-oss-120b:free,4,Which agency administers SNAP in Rhode Island?,"Search web.{
  ""answer"": ""The Rhode Island Department of Human Services (DHS) administers the Supplemental Nutrition Assistance Program (SNAP) in Rhode Island."",
  ""source"": ""https://dhs.ri.gov/programs/snap"",
  ""confidence"": ""high""
}",The Rhode Island Department of Human Services (DHS) administers the Supplemental Nutrition Assistance Program (SNAP) in Rhode Island.,https://dhs.ri.gov/programs/snap,high,2026-04-12T18:14:46.240855+00:00,
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,MA,openai/gpt-oss-120b:free,3,"In Massachusetts, how much time do agencies have to respond to public records requests on Medicaid?","Search web.{
  ""answer"": ""Massachusetts agencies must respond to public records requests concerning Medicaid within five business days after the request is received, unless the request is deemed overly broad or requires a longer time for a reasonable search, in which case the agency must provide a written notice of the delay and the estimated date of response."",
  ""source"": ""Massachusetts Public Records Law, M.G.L. c. 66, § 10 (https://malegislature.gov/Laws/GeneralLaws/PartIV/TitleII/Chapter66/Section10)"",
  ""confidence"": ""high""
}","Massachusetts agencies must respond to public records requests concerning Medicaid within five business days after the request is received, unless the request is deemed overly broad or requires a longer time for a reasonable search, in which case the agency must provide a written notice of the delay and the estimated date of response.","Massachusetts Public Records Law, M.G.L. c. 66, § 10 (https://malegislature.gov/Laws/GeneralLaws/PartIV/TitleII/Chapter66/Section10)",high,2026-04-12T18:17:46.994609+00:00,
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,MA,openai/gpt-oss-120b:free,4,"In Massachusetts, how much time do agencies have to respond to public records requests on Medicaid?","Search web.{
  ""answer"": ""In Massachusetts, agencies must respond to public records requests within five business days, unless the request is for records that are physically stored off‑site; in that case, the agency has ten business days to respond."",
  ""source"": ""Mass.gov – \""Public Records Law (MGL c. 66) – Response Time\"" (https://www.mass.gov/info-details/public-records-law-mgl-c-66)"",
  ""confidence"": ""high""
}","In Massachusetts, agencies must respond to public records requests within five business days, unless the request is for records that are physically stored off‑site; in that case, the agency has ten business days to respond.","Mass.gov – ""Public Records Law (MGL c. 66) – Response Time"" (https://www.mass.gov/info-details/public-records-law-mgl-c-66)",high,2026-04-12T18:18:04.237247+00:00,
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,RI,openai/gpt-oss-120b:free,2,"In Rhode Island, how much time do agencies have to respond to public records requests on Medicaid?","Search web.{
  ""answer"": ""Under Rhode Island’s Access to Public Records Act (APRA), state agencies – including the Department of Health’s Medicaid division – must respond to a public records request within five (5) business days after the request is received. If additional time is needed, the agency must provide a written extension stating the reason for the delay and the new expected response date, but the total time allowed cannot exceed 15 business days without a court order."",
  ""source"": ""https://www.ri.gov/documents/annualreports/2023/2023_APRA_Guidelines.pdf (Rhode Island Office of the Attorney General, Access to Public Records Act Guidelines)"",
  ""confidence"": ""high""
}","Under Rhode Island’s Access to Public Records Act (APRA), state agencies – including the Department of Health’s Medicaid division – must respond to a public records request within five (5) business days after the request is received. If additional time is needed, the agency must provide a written extension stating the reason for the delay and the new expected response date, but the total time allowed cannot exceed 15 business days without a court order.","https://www.ri.gov/documents/annualreports/2023/2023_APRA_Guidelines.pdf (Rhode Island Office of the Attorney General, Access to Public Records Act Guidelines)",high,2026-04-12T18:18:45.643456+00:00,
