question_template,program,state,model,majority_answer,agreement_rate,sources,avg_confidence
What is the state-level administration address for {program} in {state}?,SNAP,MA,openai/gpt-oss-120b:free,"Department of Transitional Assistance (DTA), SNAP Division, 24th Floor, 60 Franklin Street, Boston, MA 02110",0.2,https://www.mass.gov/contact-dta | https://www.mass.gov/doc/dta-contact-information/download | https://www.mass.gov/doc/supplemental-nutrition-assistance-program-snap-frequently-asked-questions/download | https://www.mass.gov/orgs/department-of-transitional-assistance,3.0
What is the state-level administration address for {program} in {state}?,SNAP,RI,openai/gpt-oss-120b:free,"Division of Nutrition Assistance, Office of the Executive Director, Rhode Island Department of Human Services, 33 Westminster Street, Providence, RI 02903",0.2,https://dhs.ri.gov/benefits/snap | https://dhs.ri.gov/programs/nutrition-assistance | https://dhs.ri.gov/snap | https://dhsri.gov/food-nutrition-services | https://health.ri.gov/services/snap/,3.0
What is the state-level administration address for {program} in {state}?,SNAP,CA,openai/gpt-oss-120b:free,"California Department of Social Services, CalFresh (SNAP) Administration
1020 O Street, Sacramento, CA 95814",0.2,https://www.cdss.ca.gov/Portals/9/CalFresh/CalFresh%20Contact%20Information.pdf | https://www.cdss.ca.gov/about-us/contact-us | https://www.cdss.ca.gov/food-nutrition-programs/food-and-nutrition-programs-division | https://www.cdss.ca.gov/inforesources/CalFresh/Contact-Us | https://www.cdss.ca.gov/inforesources/calfresh,3.0
What is the state-level administration address for {program} in {state}?,SNAP,NY,openai/gpt-oss-120b:free,"New York State Office of Temporary Assistance (OTDA) – SNAP Administration
1 Washington Avenue
Albany, NY 12230",0.2,https://otda.ny.gov/about/office_locations/ | https://otda.ny.gov/about/otda/locations/ | https://otda.ny.gov/programs/food-assistance/snap/ | https://otda.ny.gov/programs/snap/ | https://otda.ny.gov/programs/socialservices/food-nutrition-services/,3.0
What is the state-level administration address for {program} in {state}?,SNAP,TX,openai/gpt-oss-120b:free,"Food Assistance Division, Texas Health and Human Services Commission, 1019 N. Lamar Street, Austin, TX 78701",0.2,https://hhs.texas.gov/food-assistance/food-stamps | https://hhs.texas.gov/services/food/food-benefits/supplemental-nutrition-assistance-program-snap | https://hhs.texas.gov/services/food/snap-food-benefits | https://hhs.texas.gov/services/food/supplemental-nutrition-assistance-program-snap/contact-us,3.0
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,MA,openai/gpt-oss-120b:free,OpenRecords@mass.gov,0.2,Massachusetts Department of Transitional Assistance – Public Records Request page (https://www.mass.gov/info-details/public-records-request) | https://www.mass.gov/doc/foia-request-contact-information-dta/pdf | https://www.mass.gov/doc/open-records-request-guidelines-wic/pdf | https://www.mass.gov/info-details/public-records-request-wic | https://www.mass.gov/info-details/wic-public-records-request,2.8
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,RI,openai/gpt-oss-120b:free,wic@health.ri.gov,0.4,https://dph.ri.gov/about/public-records-request | https://www.health.ri.gov/food-wic/contact/ | https://www.health.ri.gov/programs/wic/ | https://www.ri.gov/agencies/agency?agency=Department%20of%20Health | https://www.ri.gov/agencies/department_of_health/,2.8
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,CA,openai/gpt-oss-120b:free,FOIARequests@cdph.ca.gov,0.2,https://www.cde.ca.gov/ls/foia/default.asp | https://www.cdph.ca.gov/Programs/CFD/Pages/Public-Records.aspx | https://www.cdph.ca.gov/Programs/CFH/Daily-Operations-Food-Nutrition/WIC/Pages/Contact-Us.aspx | https://www.cdph.ca.gov/Programs/CFH/Pages/WIC-Contact-Us.aspx | https://www.cdph.ca.gov/Programs/CHSI/Pages/Public-Records-Requests.aspx,3.0
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,NY,openai/gpt-oss-120b:free,WICPublicRecords@health.ny.gov,0.2,https://www.health.ny.gov/about/contact/foia.shtml (New York State Department of Health FOIA contact page) | https://www.health.ny.gov/foundations/wic/records_request.htm | https://www.health.ny.gov/programs/public_health/wic/contact/ | https://www.health.ny.gov/programs/wic/contact/,3.0
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,TX,openai/gpt-oss-120b:free,The Texas Department of State Health Services – WIC Program can be contacted for public records requests via email at: requests@dshs.texas.gov,0.2,https://www.dshs.texas.gov/about/contactus/ (Texas Department of State Health Services contact page) | https://www.dshs.texas.gov/benefits/wic/contacts.aspx | https://www.dshs.texas.gov/wic/ | https://www.dshs.texas.gov/wic/public-records.asp | https://www.texas.gov/public-records-request/,3.0
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,MA,openai/gpt-oss-120b:free,1-800-626-4742,0.2,Mass.gov – Low Income Home Energy Assistance Program (LIHEAP) contact information | https://www.mass.gov/info-details/low-income-home-energy-assistance-program-liheap | https://www.mass.gov/service-details/low-income-home-energy-assistance-program-liheap,2.6
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,RI,openai/gpt-oss-120b:free,1‑800‑242‑7615 (RI LIHEAP Hotline),0.2,https://dhs.ri.gov/energy-assistance | https://eeco.ri.gov/energy-assistance/liheap/ | https://health.ri.gov/publications/pdf/LIHEAP%20Customer%20Service%20Guide.pdf | https://www.energy.gov/eere/femp/life-heat-energy-assistance-program-liheap-rhode-island | https://www.energyri.com/energy-assistance/liheap,3.0
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,CA,openai/gpt-oss-120b:free,1-800-952-5210 (California Department of Community Services and Development LIHEAP Call Center),0.2,https://www.cdss.ca.gov/Information-Resources/Utility-Assistance/Low-Income-Home-Energy-Assistance-Program | https://www.csd.ca.gov/Programs/LIHEAP/Contact-Us/ | https://www.csd.ca.gov/Programs/Low-Income-Home-Energy-Assistance-Program-LIHEAP/ | https://www.csd.ca.gov/energy-assistance/low-income-home-energy-assistance-program-liheap | https://www.dcsd.ca.gov/Programs/LIHEAP/,3.0
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,NY,openai/gpt-oss-120b:free,1-800-342-2875 (LIHEAP Consumer Hotline for New York State),0.2,https://otda.ny.gov/programs/energy-and-utilities/low-income-home-energy-assistance-program-liheap/ | https://otda.ny.gov/programs/energy-assistance/liq/heating-assistance-programs/liheap/ | https://otda.ny.gov/programs/energy-assistance/low-income-home-energy-assistance-program-liheap/ | https://www.ny.gov/services/low-income-home-energy-assistance-program-liheap,3.0
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,TX,openai/gpt-oss-120b:free,1-800-252-8683,0.2,https://hhs.texas.gov/assistance/utility-bill-assistance/low-income-home-energy-assistance-program-liheap/contact-us | https://hhs.texas.gov/doing-business/licensing/energy-assistance/low-income-home-energy-assistance-program-liheap | https://hhs.texas.gov/doing-business/programs/low-income-home-energy-assistance-program-liheap/contact-liheap | https://hhs.texas.gov/services/energy-assistance/low-income-home-energy-assistance-program-liheap/contact-us | https://hhs.texas.gov/services/financial-assistance/low-income-home-energy-assistance-program-liheap,2.8
Which agency administers {program} in {state}?,SNAP,MA,anthropic/claude-opus-4.7,"The Department of Transitional Assistance (DTA), which is part of the Massachusetts Executive Office of Health and Human Services, administers SNAP in Massachusetts.",0.8,https://www.mass.gov/snap-benefits-formerly-food-stamps,3.0
Which agency administers {program} in {state}?,SNAP,RI,anthropic/claude-opus-4.7,The Rhode Island Department of Human Services (DHS) administers the Supplemental Nutrition Assistance Program (SNAP) in Rhode Island.,0.8,https://dhs.ri.gov/programs-and-services/supplemental-nutrition-assistance-program-snap,3.0
Which agency administers {program} in {state}?,SNAP,CA,anthropic/claude-opus-4.7,"The California Department of Social Services (CDSS) administers SNAP in California, where the program is known as CalFresh. It is administered at the local level by county human services agencies.",1.0,https://www.cdss.ca.gov/calfresh,3.0
Which agency administers {program} in {state}?,SNAP,NY,anthropic/claude-opus-4.7,"The New York State Office of Temporary and Disability Assistance (OTDA) administers SNAP in New York, with local social services districts (such as the NYC Human Resources Administration) handling application processing and day-to-day operations.",0.2,https://otda.ny.gov/programs/snap/,3.0
Which agency administers {program} in {state}?,SNAP,TX,anthropic/claude-opus-4.7,The Texas Health and Human Services Commission (HHSC) administers the Supplemental Nutrition Assistance Program (SNAP) in Texas.,0.8,https://www.hhs.texas.gov/services/food/snap-food-benefits,3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,MA,anthropic/claude-opus-4.7,"Under the Massachusetts Public Records Law (M.G.L. c. 66, § 10), agencies (Records Access Officers) generally must respond to public records requests within 10 business days of receipt. This applies to requests for Medicaid (MassHealth) records as well. The initial response must either provide the records, identify the records and any applicable fees, or explain why the records cannot be provided. If more time is needed, an agency may petition the Supervisor of Records for an extension, which can extend the response time up to 20 business days for municipalities or longer with approval.",0.2,"https://www.mass.gov/handbook/a-guide-to-the-massachusetts-public-records-law (Massachusetts Secretary of the Commonwealth, Public Records Division); M.G.L. c. 66, § 10 | https://www.mass.gov/handbook/a-guide-to-the-massachusetts-public-records-law (Secretary of the Commonwealth) and M.G.L. c. 66, § 10 | https://www.mass.gov/handbook/a-guide-to-the-massachusetts-public-records-law (Secretary of the Commonwealth, Public Records Division); M.G.L. c. 66, § 10 | https://www.mass.gov/public-records-law (M.G.L. c. 66, § 10; 950 CMR 32.00) | https://www.mass.gov/public-records-law (Massachusetts Public Records Law, M.G.L. c. 66, § 10); 950 CMR 32.00",3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,RI,anthropic/claude-opus-4.7,"Under the Rhode Island Access to Public Records Act (APRA), public agencies generally have 10 business days to respond to a public records request. This deadline can be extended by an additional 20 business days if the agency demonstrates good cause (such as the request being voluminous or requiring legal review). This general APRA timeline applies to Medicaid-related records requests made to the Rhode Island Executive Office of Health and Human Services (EOHHS) or the Department of Human Services.",0.2,"R.I. Gen. Laws § 38-2-3(e); Rhode Island Attorney General APRA guidance (http://www.riag.ri.gov/OpenGovernment/APRA.php) | Rhode Island Access to Public Records Act, R.I. Gen. Laws § 38-2-3(e); http://webserver.rilegislature.gov/Statutes/TITLE38/38-2/38-2-3.htm | Rhode Island General Laws § 38-2-3(e) (Access to Public Records Act), http://webserver.rilin.state.ri.us/Statutes/TITLE38/38-2/38-2-3.HTM | Rhode Island General Laws § 38-2-3(e) (Access to Public Records Act); http://webserver.rilin.state.ri.us/Statutes/TITLE38/38-2/38-2-3.HTM",3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,CA,anthropic/claude-opus-4.7,"Under the California Public Records Act (Government Code section 7922.535, formerly section 6253), agencies must determine whether a request seeks disclosable public records and notify the requester of that determination within 10 calendar days of receiving the request. In 'unusual circumstances,' this deadline may be extended by up to 14 additional calendar days with written notice to the requester. Note that this 10-day period is for the agency's determination, not necessarily the actual production of records, which should occur promptly thereafter. These rules apply to Medi-Cal (California's Medicaid program) records held by the Department of Health Care Services, subject to applicable confidentiality exemptions.",0.2,California Government Code section 7922.535 (https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?sectionNum=7922.535&lawCode=GOV) | California Government Code § 7922.535 (https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=GOV&sectionNum=7922.535) | California Government Code § 7922.535 (https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?sectionNum=7922.535&lawCode=GOV),3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,NY,anthropic/claude-opus-4.7,"Under New York's Freedom of Information Law (FOIL), agencies must respond to a public records request within 5 business days of receipt by either providing the records, denying the request in writing, or acknowledging receipt in writing and providing an approximate date (generally within 20 business days) when the request will be granted or denied. If more than 20 business days are needed, the agency must provide a written explanation and a reasonable date certain for responding. These timeframes apply to records requests made to the New York State Department of Health, which administers Medicaid.",0.2,"New York Department of State, Committee on Open Government - Public Officers Law §89(3) (https://opengovernment.ny.gov/freedom-information-law) | New York Public Officers Law § 89(3)(a); NY Committee on Open Government (https://opengovernment.ny.gov/freedom-information-law) | New York Public Officers Law § 89(3)(a); New York State Committee on Open Government (https://opengovernment.ny.gov/freedom-information-law) | New York Public Officers Law § 89(3)(a); https://www.dos.ny.gov/coog/foil2.html | https://www.dos.ny.gov/coog/foil2.html (NYS Committee on Open Government) and NY Public Officers Law § 89(3)",3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,TX,anthropic/claude-opus-4.7,"Under the Texas Public Information Act (Chapter 552 of the Texas Government Code), a governmental body generally must 'promptly' produce public information in response to a request. If the agency wishes to withhold information and seek an Attorney General ruling, it must request that ruling within 10 business days of receiving the request. If information is not readily available, the agency must certify this and set a date and hour within a reasonable time when the information will be available. These general PIA deadlines apply to Medicaid-related records held by Texas HHSC, though specific records may be confidential under state or federal law (e.g., HIPAA, 42 CFR Part 431 Subpart F).",0.2,"Texas Government Code Chapter 552 (Public Information Act), https://statutes.capitol.texas.gov/Docs/GV/htm/GV.552.htm; Texas Attorney General Public Information Handbook, https://www.texasattorneygeneral.gov/open-government/governmental-bodies/public-information-act | Texas Government Code Chapter 552 (Public Information Act), https://statutes.capitol.texas.gov/Docs/GV/htm/GV.552.htm; Texas Attorney General Public Information Handbook, https://www.texasattorneygeneral.gov/open-government/members-public/public-information-act | Texas Government Code § 552.221 and § 552.301 (https://statutes.capitol.texas.gov/Docs/GV/htm/GV.552.htm); Texas Attorney General's Public Information Act Handbook (https://www.texasattorneygeneral.gov/open-government/governmental-bodies/public-information-act) | https://statutes.capitol.texas.gov/Docs/GV/htm/GV.552.htm (Texas Government Code Chapter 552); https://www.texasattorneygeneral.gov/open-government/members-public/how-request-public-information | https://statutes.capitol.texas.gov/Docs/GV/htm/GV.552.htm (Texas Government Code Chapter 552, §§ 552.221 and 552.301)",3.0
What is the state-level administration address for {program} in {state}?,SNAP,MA,anthropic/claude-opus-4.7,"The Supplemental Nutrition Assistance Program (SNAP) in Massachusetts is administered by the Department of Transitional Assistance (DTA). The central/state office address is: Department of Transitional Assistance, 600 Washington Street, Boston, MA 02111.",0.2,https://www.mass.gov/orgs/department-of-transitional-assistance,3.0
What is the state-level administration address for {program} in {state}?,SNAP,RI,anthropic/claude-opus-4.7,"Rhode Island Department of Human Services, Louis Pasteur Building #57, 25 Howard Avenue, Cranston, RI 02920",0.6,https://dhs.ri.gov/programs-and-services/food-assistance-snap,2.0
What is the state-level administration address for {program} in {state}?,SNAP,CA,anthropic/claude-opus-4.7,"California Department of Social Services, 744 P Street, Sacramento, CA 95814",1.0,https://www.cdss.ca.gov/calfresh | https://www.cdss.ca.gov/food-nutrition/calfresh,2.6
What is the state-level administration address for {program} in {state}?,SNAP,NY,anthropic/claude-opus-4.7,"The New York State Office of Temporary and Disability Assistance (OTDA) administers SNAP in New York. The main administrative address is: New York State Office of Temporary and Disability Assistance, 40 North Pearl Street, Albany, NY 12243-0001.",0.4,https://otda.ny.gov/programs/snap/,3.0
What is the state-level administration address for {program} in {state}?,SNAP,TX,anthropic/claude-opus-4.7,"Texas Health and Human Services Commission (HHSC), 4900 North Lamar Boulevard, Austin, TX 78751",0.4,https://www.hhs.texas.gov/ | https://www.hhs.texas.gov/about/contact-us | https://www.hhs.texas.gov/services/food/snap-food-benefits,2.0
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,MA,anthropic/claude-opus-4.7,"In Massachusetts, WIC is administered by the Massachusetts Department of Public Health (DPH). The public records requests email address for DPH is dph.privacy@mass.gov, which is the contact for the DPH Records Access Officer.",0.25,https://www.mass.gov/how-to/make-a-public-records-request-to-dph | https://www.mass.gov/how-to/request-public-records-from-dph | https://www.mass.gov/how-to/request-public-records-from-the-department-of-public-health | https://www.mass.gov/info-details/public-records-requests-at-the-department-of-public-health | https://www.mass.gov/orgs/department-of-public-health,2.2
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,RI,anthropic/claude-opus-4.7,The Rhode Island Department of Health (RIDOH) administers WIC in Rhode Island. Public records requests can be submitted to RIDOH.APRA@health.ri.gov,0.4,https://health.ri.gov/publications/APRA.pdf | https://health.ri.gov/publications/forms/APRARequest.pdf | https://health.ri.gov/publications/policies/PublicRecordsAccessPolicy.pdf | https://health.ri.gov/publications/publicrecords/ | https://health.ri.gov/publications/requests/,2.2
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,CA,anthropic/claude-opus-4.7,PublicRecordsAct@cdph.ca.gov,0.2,https://www.cdph.ca.gov/Programs/CHSI/Pages/PublicRecordsAct.aspx | https://www.cdph.ca.gov/Programs/OLS/Pages/PRA.aspx | https://www.cdph.ca.gov/Programs/OPA/Pages/PublicRecordsAct.aspx,2.2
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,NY,anthropic/claude-opus-4.7,The New York State Department of Health administers WIC in New York. Public records (FOIL) requests can be submitted to the Department of Health at foil@health.ny.gov,0.2,https://www.health.ny.gov/regulations/foil/,3.0
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,TX,anthropic/claude-opus-4.7,The Texas Health and Human Services Commission (HHSC) administers WIC in Texas. Public Information Act requests can be submitted to HHSC at PIARequest@hhs.texas.gov,0.2,https://www.hhs.texas.gov/about/records-statistics/public-information-requests | https://www.hhs.texas.gov/about/records-statistics/request-public-information | https://www.hhs.texas.gov/about/records-statistics/requesting-records-data/public-information-requests | https://www.hhs.texas.gov/about/records-statistics/texas-public-information-act-requests,2.6
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,MA,anthropic/claude-opus-4.7,"In Massachusetts, LIHEAP (known as the Low Income Home Energy Assistance Program or Fuel Assistance) is administered at the state level by the Department of Housing and Community Development (DHCD), now part of the Executive Office of Housing and Livable Communities (EOHLC). The public can call 1-800-632-8175 to be connected to their local fuel assistance agency. For general inquiries, EOHLC can be reached at (617) 573-1100.",0.2,https://www.mass.gov/how-to/apply-for-home-energy-assistance-liheap | https://www.mass.gov/how-to/apply-for-low-income-home-energy-assistance-program-liheap | https://www.mass.gov/how-to/apply-for-the-low-income-home-energy-assistance-program-liheap,2.8
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,RI,anthropic/claude-opus-4.7,1-855-697-4347,0.6,"https://dhs.ri.gov/programs-and-services/energy-assistance (Rhode Island Department of Human Services, Office of Energy Resources / LIHEAP) | https://dhs.ri.gov/programs-and-services/energy-assistance-liheap | https://energy.ri.gov/energy-affordability/heating-assistance-liheap | https://energy.ri.gov/energy-assistance/low-income-home-energy-assistance-program-liheap",2.0
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,CA,anthropic/claude-opus-4.7,1-866-675-6623,1.0,https://www.csd.ca.gov/Pages/Energy-Bill-Assistance.aspx | https://www.csd.ca.gov/Pages/Low-Income-Home-Energy-Assistance-Program.aspx | https://www.csd.ca.gov/Pages/Low-Income-Home-Energy-Assistance-Program.aspx (California Department of Community Services and Development) | https://www.csd.ca.gov/energybills (California Department of Community Services and Development),3.0
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,NY,anthropic/claude-opus-4.7,1-800-342-3009,1.0,https://otda.ny.gov/programs/heap/,3.0
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,TX,anthropic/claude-opus-4.7,1-877-399-8939,1.0,Texas Department of Housing and Community Affairs (TDHCA) - https://www.tdhca.state.tx.us/community-affairs/ceap/ | https://www.tdhca.state.tx.us/community-affairs/ceap/index.htm,2.4
Which agency administers {program} in {state}?,SNAP,MA,google/gemma-4-26b-a4b-it,"In Massachusetts, the Supplemental Nutrition Assistance Program (SNAP) is administered by the Department of Transitional Assistance (DTA).",0.4,https://www.mass.gov/orgs/department-of-transitional-assistance | https://www.mass.gov/orgs/division-of-transitional-assistance,3.0
Which agency administers {program} in {state}?,SNAP,RI,google/gemma-4-26b-a4b-it,"In Rhode Island, the Supplemental Nutrition Assistance Program (SNAP) is administered by the Department of Human Services (DHS).",0.2,https://dhs.ri.gov/,3.0
Which agency administers {program} in {state}?,SNAP,CA,google/gemma-4-26b-a4b-it,"In California, the Supplemental Nutrition Assistance Program (SNAP) is administered by the California Department of Social Services (CDSS) through its CalFresh program.",0.4,https://www.cdss.ca.gov/ | https://www.cdss.ca.gov/inforesources/calfresh,3.0
Which agency administers {program} in {state}?,SNAP,NY,google/gemma-4-26b-a4b-it,"In New York, the Supplemental Nutrition Assistance Program (SNAP) is administered by the New York State Office of Temporary and Disability Assistance (OTDA) in partnership with local Department of Social Services (DSS) or Department of Social Services (DSS) agencies in each county.",0.2,https://otda.ny.gov/assistance/snap/ | https://otda.ny.gov/assistance/snap/index.html | https://otda.ny.gov/programs/snap/index.html | https://otda.ny.gov/programs/snap/index.티 | https://otda.ny.gov/snap/,3.0
Which agency administers {program} in {state}?,SNAP,TX,google/gemma-4-26b-a4b-it,The Texas Health and Human Services Commission (HHSC) administers the Supplemental Nutrition Assistance Program (SNAP) in Texas.,0.6,https://www.tnbenefits.com/ (Texas Health and Human Services Commission) | https://www.tnlasso.com/ (Texas Health and Human Services Commission official website) | https://www.tnlasso.com/ (Texas Health and Human Services Commission) | https://www.tnstarbenefits.com/ (Texas Health and Human Services Commission) | https://www.truehandsonline.com/snap/about-snap/,3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,MA,google/gemma-4-26b-a4b-it,"Under the Massachusetts Public Records Law, a public agency must respond to a public records request within 10 business days. The response must either deny the request in writing (stating the reasons for denial) or provide a written estimate of when the records will be made available.",0.2,"Massachusetts Secretary of the Commonwealth - Public Records Law (https://www.sec.state.ma.us/divisions/public-records/) | Massachusetts Secretary of the Commonwealth - Public Records Law (https://www.sec.state.ma.us/divisions/publicrecords/) | Massachusetts Secretary of the Commonwealth, Public Records Division (sec.state.ma.us) | Massachusetts Secretary of the Commonwealth, Public Records Law (M.G.L. c. 66, § 10) | https://www.mass.gov/info-details/public-records-law",3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,RI,google/gemma-4-26b-a4b-it,"In Rhode Island, agencies are required to respond to public records requests within 10 business days. If the agency is unable to respond within this timeframe, they must provide a written explanation for the delay and an estimated date by which the response will be provided.",0.25,"Rhode Island Department of Administration, Division of Administration - Rhode Island Access to Information Act | Rhode Island General Assembly - Rhode Island Access to Information Act (R.I. Gen. Laws § 38-2) | Rhode Island Office of the Attorney General - Access to Public Records Act (APRA) | https://rules.sos.ri.gov/rules/index.php",2.6
