question_template,program,state,model,question_type,ground_truth,majority_answer,status,agreement_rate,avg_confidence
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,MA,anthropic/claude-opus-4.7,response_time,10 business days with 20-30 business days extension,"Under the Massachusetts Public Records Law (M.G.L. c. 66, § 10), agencies (Records Access Officers) generally must respond to public records requests within 10 business days of receipt. This applies to requests for Medicaid (MassHealth) records as well. The initial response must either provide the records, identify the records and any applicable fees, or explain why the records cannot be provided. If more time is needed, an agency may petition the Supervisor of Records for an extension, which can extend the response time up to 20 business days for municipalities or longer with approval.",correct,0.2,3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,RI,anthropic/claude-opus-4.7,response_time,10 business days with 20 business days extension,"Under the Rhode Island Access to Public Records Act (APRA), public agencies generally have 10 business days to respond to a public records request. This deadline can be extended by an additional 20 business days if the agency demonstrates good cause (such as the request being voluminous or requiring legal review). This general APRA timeline applies to Medicaid-related records requests made to the Rhode Island Executive Office of Health and Human Services (EOHHS) or the Department of Human Services.",correct,0.2,3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,CA,anthropic/claude-opus-4.7,response_time,10 calendar days  with 14 calendar days extension,"Under the California Public Records Act (Government Code section 7922.535, formerly section 6253), agencies must determine whether a request seeks disclosable public records and notify the requester of that determination within 10 calendar days of receiving the request. In 'unusual circumstances,' this deadline may be extended by up to 14 additional calendar days with written notice to the requester. Note that this 10-day period is for the agency's determination, not necessarily the actual production of records, which should occur promptly thereafter. These rules apply to Medi-Cal (California's Medicaid program) records held by the Department of Health Care Services, subject to applicable confidentiality exemptions.",correct,0.2,3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,NY,anthropic/claude-opus-4.7,response_time,5 business days with 15 business days extension,"Under New York's Freedom of Information Law (FOIL), agencies must respond to a public records request within 5 business days of receipt by either providing the records, denying the request in writing, or acknowledging receipt in writing and providing an approximate date (generally within 20 business days) when the request will be granted or denied. If more than 20 business days are needed, the agency must provide a written explanation and a reasonable date certain for responding. These timeframes apply to records requests made to the New York State Department of Health, which administers Medicaid.",correct,0.2,3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,TX,anthropic/claude-opus-4.7,response_time,10 business days,"Under the Texas Public Information Act (Chapter 552 of the Texas Government Code), a governmental body generally must 'promptly' produce public information in response to a request. If the agency wishes to withhold information and seek an Attorney General ruling, it must request that ruling within 10 business days of receiving the request. If information is not readily available, the agency must certify this and set a date and hour within a reasonable time when the information will be available. These general PIA deadlines apply to Medicaid-related records held by Texas HHSC, though specific records may be confidential under state or federal law (e.g., HIPAA, 42 CFR Part 431 Subpart F).",correct,0.2,3.0
What is the state-level administration address for {program} in {state}?,SNAP,MA,anthropic/claude-opus-4.7,address,"DTA Document Processing Center
P.O. Box 4406
Taunton, MA 02780-0420","The Supplemental Nutrition Assistance Program (SNAP) in Massachusetts is administered by the Department of Transitional Assistance (DTA). The central/state office address is: Department of Transitional Assistance, 600 Washington Street, Boston, MA 02111.",incorrect,0.2,3.0
What is the state-level administration address for {program} in {state}?,SNAP,RI,anthropic/claude-opus-4.7,address,"RI Department of Human Services
P.O. Box 8709
Cranston, RI 02920-8787","Rhode Island Department of Human Services, Louis Pasteur Building #57, 25 Howard Avenue, Cranston, RI 02920",correct,0.6,2.0
What is the state-level administration address for {program} in {state}?,SNAP,CA,anthropic/claude-opus-4.7,address,"California Department of Social Services
744 P Street
Sacramento, CA 95814","California Department of Social Services, 744 P Street, Sacramento, CA 95814",correct,1.0,2.6
What is the state-level administration address for {program} in {state}?,SNAP,NY,anthropic/claude-opus-4.7,address,"New York State Office of Temporary and Disability Assistance
40 North Pearl Street
Albany, NY 12243","The New York State Office of Temporary and Disability Assistance (OTDA) administers SNAP in New York. The main administrative address is: New York State Office of Temporary and Disability Assistance, 40 North Pearl Street, Albany, NY 12243-0001.",correct,0.4,3.0
What is the state-level administration address for {program} in {state}?,SNAP,TX,anthropic/claude-opus-4.7,address,"Texas Health and Human Services Commission
P.O. Box 149027
Austin, TX 78714-9027","Texas Health and Human Services Commission (HHSC), 4900 North Lamar Boulevard, Austin, TX 78751",incorrect,0.4,2.0
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,MA,anthropic/claude-opus-4.7,email,DPH.RAO@state.ma.us,"In Massachusetts, WIC is administered by the Massachusetts Department of Public Health (DPH). The public records requests email address for DPH is dph.privacy@mass.gov, which is the contact for the DPH Records Access Officer.",incorrect,0.25,2.2
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,RI,anthropic/claude-opus-4.7,email,pamela.lopes@health.ri.gov,The Rhode Island Department of Health (RIDOH) administers WIC in Rhode Island. Public records requests can be submitted to RIDOH.APRA@health.ri.gov,incorrect,0.4,2.2
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,CA,anthropic/claude-opus-4.7,email,WIC@cdph.ca.gov,PublicRecordsAct@cdph.ca.gov,incorrect,0.2,2.2
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,NY,anthropic/claude-opus-4.7,email,foil@health.ny.gov,The New York State Department of Health administers WIC in New York. Public records (FOIL) requests can be submitted to the Department of Health at foil@health.ny.gov,correct,0.2,3.0
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,TX,anthropic/claude-opus-4.7,email,OpenRecordsRequest@hhs.texas.gov,The Texas Health and Human Services Commission (HHSC) administers WIC in Texas. Public Information Act requests can be submitted to HHSC at PIARequest@hhs.texas.gov,incorrect,0.2,2.6
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,MA,anthropic/claude-opus-4.7,phone,(800) 632-8175,"In Massachusetts, LIHEAP (known as the Low Income Home Energy Assistance Program or Fuel Assistance) is administered at the state level by the Department of Housing and Community Development (DHCD), now part of the Executive Office of Housing and Livable Communities (EOHLC). The public can call 1-800-632-8175 to be connected to their local fuel assistance agency. For general inquiries, EOHLC can be reached at (617) 573-1100.",correct,0.2,2.8
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,RI,anthropic/claude-opus-4.7,phone,1-855-697-4347,1-855-697-4347,correct,0.6,2.0
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,CA,anthropic/claude-opus-4.7,phone,1-866-675-6623,1-866-675-6623,correct,1.0,3.0
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,NY,anthropic/claude-opus-4.7,phone,1-800-342-3009,1-800-342-3009,correct,1.0,3.0
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,TX,anthropic/claude-opus-4.7,phone,1-877-399-8939,1-877-399-8939,correct,1.0,2.4
Which agency administers {program} in {state}?,SNAP,MA,google/gemma-4-26b-a4b-it,agency,The Massachusetts Department of Transitional Assistance (DTA),"In Massachusetts, the Supplemental Nutrition Assistance Program (SNAP) is administered by the Department of Transitional Assistance (DTA).",correct,0.4,3.0
Which agency administers {program} in {state}?,SNAP,RI,google/gemma-4-26b-a4b-it,agency,The Rhode Island Department of Human Services (DHS),"In Rhode Island, the Supplemental Nutrition Assistance Program (SNAP) is administered by the Department of Human Services (DHS).",correct,0.2,3.0
Which agency administers {program} in {state}?,SNAP,CA,google/gemma-4-26b-a4b-it,agency,The California Department of Social Services (CDSS),"In California, the Supplemental Nutrition Assistance Program (SNAP) is administered by the California Department of Social Services (CDSS) through its CalFresh program.",correct,0.4,3.0
Which agency administers {program} in {state}?,SNAP,NY,google/gemma-4-26b-a4b-it,agency,The New York State Office of Temporary and Disability Assistance (OTDA),"In New York, the Supplemental Nutrition Assistance Program (SNAP) is administered by the New York State Office of Temporary and Disability Assistance (OTDA) in partnership with local Department of Social Services (DSS) or Department of Social Services (DSS) agencies in each county.",correct,0.2,3.0
Which agency administers {program} in {state}?,SNAP,TX,google/gemma-4-26b-a4b-it,agency,The Texas Health and Human Services Commission (HHSC),The Texas Health and Human Services Commission (HHSC) administers the Supplemental Nutrition Assistance Program (SNAP) in Texas.,correct,0.6,3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,MA,google/gemma-4-26b-a4b-it,response_time,10 business days with 20-30 business days extension,"Under the Massachusetts Public Records Law, a public agency must respond to a public records request within 10 business days. The response must either deny the request in writing (stating the reasons for denial) or provide a written estimate of when the records will be made available.",correct,0.2,3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,RI,google/gemma-4-26b-a4b-it,response_time,10 business days with 20 business days extension,"In Rhode Island, agencies are required to respond to public records requests within 10 business days. If the agency is unable to respond within this timeframe, they must provide a written explanation for the delay and an estimated date by which the response will be provided.",correct,0.25,2.6
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,CA,google/gemma-4-26b-a4b-it,response_time,10 calendar days  with 14 calendar days extension,"In California, public records requests are governed by the California Public Records Act (CPRA). Agencies are required to respond to a request for records within 10 days. This response must either notify the requester that the request has been received and is being processed, deny the request, or notify the requester that certain portions of the request are exempt from disclosure. The 10-day period is for an initial response/determination, not necessarily for the full production of all records, which may take longer depending on the complexity of the request and extensions allowed under the law.",incorrect,0.2,3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,NY,google/gemma-4-26b-a4b-it,response_time,5 business days with 15 business days extension,"In New York, public records requests are governed by the Freedom of Information Law (FOIL). Under FOIL, agencies are required to respond to a request within five business days. The response must either grant or deny the request, or provide a reasonable estimate of the time it will take to comply.",correct,0.2,3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,TX,google/gemma-4-26b-a4b-it,response_time,10 business days,"In Texas, under the Public Information Act, a governmental body must promptly release information that is not excepted from disclosure. If the agency intends to withhold information based on an exception, it must request an attorney general opinion within 10 business days after receiving the request. While there is no specific mandated number of days for a 'response' to a simple request, the 10-day rule governs the process for deciding whether information can be withheld.",correct,0.2,3.0
What is the state-level administration address for {program} in {state}?,SNAP,MA,google/gemma-4-26b-a4b-it,address,"DTA Document Processing Center
P.O. Box 4406
Taunton, MA 02780-0420","The SNAP program in Massachusetts is administered by the Department of Transitional Assistance (DTA). The main administrative address for the DTA is 100 Cambridge Street, Boston, MA 02118.",incorrect,0.2,3.0
What is the state-level administration address for {program} in {state}?,SNAP,RI,google/gemma-4-26b-a4b-it,address,"RI Department of Human Services
P.O. Box 8709
Cranston, RI 02920-8787","The Rhode Island Department of Human Services (RI DHS) administers the Supplemental Nutrition Assistance Program (SNAP). The main administrative address for the Department of Human Services is 60 Washington Street, Providence, RI 02903.",incorrect,0.2,3.0
What is the state-level administration address for {program} in {state}?,SNAP,CA,google/gemma-4-26b-a4b-it,address,"California Department of Social Services
744 P Street
Sacramento, CA 95814","In California, the SNAP program (known as CalFresh) is administered by the California Department of Social Services (CDSS). The state-level administration address is: California Department of Social Services, 1001тельность Street, Sacramento, CA 95814.",correct,0.2,3.0
What is the state-level administration address for {program} in {state}?,SNAP,NY,google/gemma-4-26b-a4b-it,address,"New York State Office of Temporary and Disability Assistance
40 North Pearl Street
Albany, NY 12243","The state-level administration for SNAP (Supplemental Nutrition Assistance Program) in New York is managed by the New York State Office of Temporary and Disability Assistance (OTDA). The administrative address is: New York State Office of Temporary and Disability Assistance, 64 Battle Grove, Albany, NY 12203.",incorrect,0.2,3.0
What is the state-level administration address for {program} in {state}?,SNAP,TX,google/gemma-4-26b-a4b-it,address,"Texas Health and Human Services Commission
P.O. Box 149027
Austin, TX 78714-9027","The Texas Health and Human Services Commission (HHSC) is the state agency responsible for administering SNAP in Texas. The main administrative headquarters is located at 409 West Taylor Street, Austin, TX 78701.",incorrect,0.2,3.0
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,MA,google/gemma-4-26b-a4b-it,email,DPH.RAO@state.ma.us,"The Massachusetts Department of Public Health (DPH), which administers the WIC program, directs public records requests to their designated public records officer. While specific direct email addresses for individual departments can change, the official method for submitting a public records request to the Department of Public Health is via the Massachusetts Public Records Request Portal or by contacting the DPH Public Records Officer.",incorrect,0.2,2.8
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,RI,google/gemma-4-26b-a4b-it,email,pamela.lopes@health.ri.gov,"The Rhode Island Department of Health (RIDOH) administers the WIC program. For public records requests, you can submit requests through the Rhode Island Department of Health's official portal or contact them via email at ridoh.publicrecords@ri.gov.",incorrect,0.2,3.0
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,CA,google/gemma-4-26b-a4b-it,email,WIC@cdph.ca.gov,"The California Department of Social Services (CDSS) administers the WIC program. For public records requests (California Public Records Act requests), you can submit a request via their online portal or contact their legal unit. While they do not list a single specific 'email address' solely for WIC records, public records requests are generally directed to the CDSS Legal Unit or submitted through the official CDSS Public Records Request portal at https://www.cdss.ca.gov/contact-us/public-records-requests.",incorrect,0.2,2.4
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,NY,google/gemma-4-26b-a4b-it,email,foil@health.ny.gov,"The New York State Department of Health, which administers the WIC (Women, Infants, and Children) program, handles public records requests through its FOIL (Freedom of Information Law) process. While the agency provides an online portal for requests, the specific email address for submitting FOIL requests to the Department of Health is foil@health.ny.gov.",correct,0.2,3.0
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,TX,google/gemma-4-26b-a4b-it,email,OpenRecordsRequest@hhs.texas.gov,"The Texas Health and Human Services Commission (HHSC), which administers the WIC program in Texas, directs public information requests to their central Public Information Act coordinator. While they do not list a specific standalone email address for WIC-only requests, general public information requests for HHSC can be submitted via their online portal or via the agency's general contact methods. For formal requests, the agency typically utilizes its centralized Public Information Act process.",incorrect,0.2,2.8
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,MA,google/gemma-4-26b-a4b-it,phone,(800) 632-8175,"The public can contact the Department of Transitional Assistance (DTA), which administers LIHEAP in Massachusetts, at 1-866-668-8693.",incorrect,0.2,3.0
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,RI,google/gemma-4-26b-a4b-it,phone,1-855-697-4347,"The public can contact the Rhode Island Department of Human Services (RI DHS), which administers the Low Income Home Energy Assistance Program (LIHEAP), at 401-462-8119 or 1-855-462-8119.",incorrect,0.2,3.0
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,CA,google/gemma-4-26b-a4b-it,phone,1-866-675-6623,"In California, the Low Income Home Energy Assistance Program (LIHEAP) is administered by the California Department of Social Services (CDSS). The public can contact the CDSS at (916) 651-3100.",incorrect,0.2,3.0
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,NY,google/gemma-4-26b-a4b-it,phone,1-800-342-3009,"In New York, the Office of Temporary and Disability Assistance (OTDA) oversees the administration of LIHEAP (Low Income Home Energy Assistance Program). The general information line for the OTDA is 1-888-225-5631. However, because LIHEAP is administered locally through county social services, residents are typically directed to contact their specific local Department of Social Services (DSS) or Human Resources Administration (HRA) for application and assistance.",incorrect,0.2,3.0
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,TX,google/gemma-4-26b-a4b-it,phone,1-877-399-8939,"The public can contact the Texas Health and Human Services Commission (HHSC), which administers the Low Income Home Energy Assistance Program (LIHEAP), at 2-1-1. Additionally, for specific questions regarding LIHEAP, individuals can contact the agency's contact center at 1-877-440-7178.",incorrect,0.2,3.0
