question_template,program,state,model,run_number,question_type,ground_truth,answer_extracted,source,confidence,run_correct
Which agency administers {program} in {state}?,SNAP,CA,openai/gpt-oss-120b:free,5,agency,The California Department of Social Services (CDSS),"In California, SNAP (referred to as CalFresh) is administered by the California Department of Social Services, Food and Nutrition Division.",https://www.cdss.ca.gov/inforesources/calfresh,high,True
Which agency administers {program} in {state}?,SNAP,NY,openai/gpt-oss-120b:free,1,agency,The New York State Office of Temporary and Disability Assistance (OTDA),"In New York, the Supplemental Nutrition Assistance Program (SNAP) is administered by the New York State Office of Temporary and Disability Assistance (OTDA), which is part of the New York State Department of Social Services (NYSDSS).",https://otda.ny.gov/programs/snap/,high,True
Which agency administers {program} in {state}?,SNAP,NY,openai/gpt-oss-120b:free,2,agency,The New York State Office of Temporary and Disability Assistance (OTDA),"The New York State Office of Temporary and Disability Assistance (OTDA), which is part of the New York State Department of Social Services, administers the Supplemental Nutrition Assistance Program (SNAP) in New York.",https://otda.ny.gov/programs/snap/,high,True
Which agency administers {program} in {state}?,SNAP,NY,openai/gpt-oss-120b:free,3,agency,The New York State Office of Temporary and Disability Assistance (OTDA),The New York State Office of Temporary and Disability Assistance (OTDA) administers the Supplemental Nutrition Assistance Program (SNAP) in New York.,https://otda.ny.gov/programs/food-assistance/snap/,high,True
Which agency administers {program} in {state}?,SNAP,NY,openai/gpt-oss-120b:free,4,agency,The New York State Office of Temporary and Disability Assistance (OTDA),"The New York State Office of Temporary and Disability Assistance (OTDA), specifically its Food and Nutrition Services (FNS) division, administers the Supplemental Nutrition Assistance Program (SNAP) in New York.",https://otda.ny.gov/programs/snap/,high,True
Which agency administers {program} in {state}?,SNAP,NY,openai/gpt-oss-120b:free,5,agency,The New York State Office of Temporary and Disability Assistance (OTDA),"The New York State Office of Temporary and Disability Assistance (OTDA), which is part of the New York State Department of Social Services, administers the Supplemental Nutrition Assistance Program (SNAP) in New York.",https://ogs.ny.gov/food-assistance/supplemental-nutrition-assistance-program-snap,high,True
Which agency administers {program} in {state}?,SNAP,TX,openai/gpt-oss-120b:free,1,agency,The Texas Health and Human Services Commission (HHSC),The Supplemental Nutrition Assistance Program (SNAP) in Texas is administered by the Texas Health and Human Services Commission (HHSC).,https://hhs.texas.gov/services/food/snap-texas,high,True
Which agency administers {program} in {state}?,SNAP,TX,openai/gpt-oss-120b:free,2,agency,The Texas Health and Human Services Commission (HHSC),The Texas Health and Human Services Commission (HHSC) administers the Supplemental Nutrition Assistance Program (SNAP) in Texas.,https://hhs.texas.gov/services/food/nutrition-assistance/snap,high,True
Which agency administers {program} in {state}?,SNAP,TX,openai/gpt-oss-120b:free,3,agency,The Texas Health and Human Services Commission (HHSC),The Supplemental Nutrition Assistance Program (SNAP) in Texas is administered by the Texas Health and Human Services Commission (HHSC).,https://hhs.texas.gov/food-nutrition/food-assistance-programs/snap-texas,high,True
Which agency administers {program} in {state}?,SNAP,TX,openai/gpt-oss-120b:free,4,agency,The Texas Health and Human Services Commission (HHSC),"In Texas, the Supplemental Nutrition Assistance Program (SNAP) is administered by the Texas Health and Human Services Commission (HHSC), specifically through its Food Assistance division.",https://hhs.texas.gov/services/food/supplemental-nutrition-assistance-program-snap,high,True
Which agency administers {program} in {state}?,SNAP,TX,openai/gpt-oss-120b:free,5,agency,The Texas Health and Human Services Commission (HHSC),The Texas Health and Human Services Commission (HHSC) administers the Supplemental Nutrition Assistance Program (SNAP) in Texas.,https://hhs.texas.gov/food-assistance/snap,high,True
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,MA,openai/gpt-oss-120b:free,1,response_time,10 business days with 20-30 business days extension,"Under Massachusetts public records law (Chapter 66, Section 20), agencies must respond to a request for public records within five business days. If additional time is needed, the agency may extend the response deadline by up to ten additional business days, provided it notifies the requester of the extension and the reason for it. This rule applies to records requests directed to the Department of Transitional Assistance, the Executive Office of Health and Human Services, and other agencies that administer Medicaid (MassHealth).",https://www.mass.gov/doc/chapter-66-public-records-law-2023/pdf,high,False
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,MA,openai/gpt-oss-120b:free,2,response_time,10 business days with 20-30 business days extension,,news,,
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,MA,openai/gpt-oss-120b:free,5,response_time,10 business days with 20-30 business days extension,"Under Massachusetts public records law, agencies must respond to a request for public records, including Medicaid records, within 10 business days of receipt of the request.",https://www.mass.gov/public-records-law,high,True
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,RI,openai/gpt-oss-120b:free,1,response_time,10 business days with 20 business days extension,"Under Rhode Island law, agencies must respond to public records requests concerning Medicaid within five business days after the request is received, unless an extension is granted for a valid reason.","https://www.ri.gov/records/ (Rhode Island Public Records Law, § 38-2.2)",high,False
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,RI,openai/gpt-oss-120b:free,4,response_time,10 business days with 20 business days extension,"Rhode Island law requires state agencies, including the Department of Human Services (which processes Medicaid requests), to respond to a public records request within 20 business days of receiving the request.",https://www.ri.gov/records/ (Rhode Island Public Records Act guidelines) and https://dhs.ri.gov/ (Department of Human Services public records policy),high,False
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,RI,openai/gpt-oss-120b:free,5,response_time,10 business days with 20 business days extension,"Rhode Island state agencies must respond to public records requests within five (5) business days, as required by the Rhode Island Access to Public Records Act, and this includes requests for Medicaid records.",https://www.rilegislature.gov/Statutes/Titles/38/38-2-4.HTM,high,False
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,CA,openai/gpt-oss-120b:free,4,response_time,10 calendar days  with 14 calendar days extension,"Under the California Public Records Act, agencies such as the Department of Health Care Services (DHCS) must respond to public records requests within 10 calendar days of receipt, unless extensions are granted for clarification or to gather records.",https://www.dhcs.ca.gov/Pages/FOIA.aspx (California Department of Health Care Services FOIA page),high,True
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,NY,openai/gpt-oss-120b:free,1,response_time,5 business days with 15 business days extension,"Under New York’s Freedom of Information Law (FOIL), agencies must respond to a request for public records, including Medicaid records, within five business days after the request is received, unless an extension is granted by the agency.","https://www.dos.ny.gov/foi/foi.html (New York Department of State, Freedom of Information Law – response time requirements)",high,True
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,NY,openai/gpt-oss-120b:free,2,response_time,5 business days with 15 business days extension,"Under New York’s Freedom of Information Law (FOIL), state agencies—including those that handle Medicaid requests—must respond to a public records request within five business days, either by providing the records, denying the request, or stating that additional time is needed.","https://www.dos.ny.gov/openrecords/foillaw.html (New York Department of State, Freedom of Information Law)",high,True
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,NY,openai/gpt-oss-120b:free,3,response_time,5 business days with 15 business days extension,"Under New York’s Freedom of Information Law (FOIL), agencies – including the New York State Department of Health and its Medicaid offices – must respond to public records requests within five business days of receipt. If additional time is needed, the agency must provide a written notice of the extension and the reason for it.",https://www.ny.gov/freedom-information-law-foil and https://www.health.ny.gov/about/foi.htm (New York State Department of Health FOIL page),high,True
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,NY,openai/gpt-oss-120b:free,4,response_time,5 business days with 15 business days extension,"Under New York’s Freedom of Information Law (FOIL), agencies, including those that administer Medicaid, must respond to a public records request within five (5) business days after the request is received, unless additional time is needed to locate, review, or exempt the records.",https://www.opr.ny.gov/foi/foi-law,high,True
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,NY,openai/gpt-oss-120b:free,5,response_time,5 business days with 15 business days extension,"Under New York’s Freedom of Information Law (FOIL), agencies must respond to a request for public records – including Medicaid records – within five business days after the request is deemed complete. If the agency needs more time, it must provide a written estimate of the additional time required.",https://www.dhs.ny.gov/openrecords/freedom-of-information-law-foil,high,True
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,TX,openai/gpt-oss-120b:free,2,response_time,10 business days,"Under the Texas Public Information Act, state agencies—including the Texas Health and Human Services Commission, which processes Medicaid requests—must respond to public records requests within 10 business days, unless an extension is granted for a good cause.",https://www.texasattorneygeneral.gov/sites/default/files/files/consumer/public_information_act/pia_faq.pdf,high,True
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,TX,openai/gpt-oss-120b:free,3,response_time,10 business days,"Under Texas Government Code §552.102, agencies must respond to a public records request within 10 business days. If the request involves a large volume of records, the agency may extend the response time by an additional 10 business days, but must notify the requester of the extension and the reason for it.",https://statutes.capitol.texas.gov/Docs/GV/htm/GV.552.htm#552.102,high,True
Which agency administers {program} in {state}?,SNAP,MA,openai/gpt-oss-120b:free,1,agency,The Massachusetts Department of Transitional Assistance (DTA),The Supplemental Nutrition Assistance Program (SNAP) in Massachusetts is administered by the Massachusetts Department of Transitional Assistance (DTA).,https://www.mass.gov/orgs/department-of-transitional-assistance,high,True
Which agency administers {program} in {state}?,SNAP,MA,openai/gpt-oss-120b:free,2,agency,The Massachusetts Department of Transitional Assistance (DTA),The Massachusetts Department of Transitional Assistance (DTA) administers SNAP (the Supplemental Nutrition Assistance Program) in Massachusetts.,https://www.mass.gov/orgs/department-of-transitional-assistance,high,True
Which agency administers {program} in {state}?,SNAP,RI,openai/gpt-oss-120b:free,2,agency,The Rhode Island Department of Human Services (DHS),"The Rhode Island Department of Human Services (RIDHS), specifically its Division of Nutrition Assistance, administers SNAP in Rhode Island.",https://dhs.ri.gov/divisions/division-of-nutrition-assistance,high,True
Which agency administers {program} in {state}?,SNAP,RI,openai/gpt-oss-120b:free,4,agency,The Rhode Island Department of Human Services (DHS),The Rhode Island Department of Human Services (DHS) administers the Supplemental Nutrition Assistance Program (SNAP) in Rhode Island.,https://dhs.ri.gov/programs/snap,high,True
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,MA,openai/gpt-oss-120b:free,3,response_time,10 business days with 20-30 business days extension,"Massachusetts agencies must respond to public records requests concerning Medicaid within five business days after the request is received, unless the request is deemed overly broad or requires a longer time for a reasonable search, in which case the agency must provide a written notice of the delay and the estimated date of response.","Massachusetts Public Records Law, M.G.L. c. 66, § 10 (https://malegislature.gov/Laws/GeneralLaws/PartIV/TitleII/Chapter66/Section10)",high,False
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,MA,openai/gpt-oss-120b:free,4,response_time,10 business days with 20-30 business days extension,"In Massachusetts, agencies must respond to public records requests within five business days, unless the request is for records that are physically stored off‑site; in that case, the agency has ten business days to respond.","Mass.gov – ""Public Records Law (MGL c. 66) – Response Time"" (https://www.mass.gov/info-details/public-records-law-mgl-c-66)",high,True
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,RI,openai/gpt-oss-120b:free,2,response_time,10 business days with 20 business days extension,"Under Rhode Island’s Access to Public Records Act (APRA), state agencies – including the Department of Health’s Medicaid division – must respond to a public records request within five (5) business days after the request is received. If additional time is needed, the agency must provide a written extension stating the reason for the delay and the new expected response date, but the total time allowed cannot exceed 15 business days without a court order.","https://www.ri.gov/documents/annualreports/2023/2023_APRA_Guidelines.pdf (Rhode Island Office of the Attorney General, Access to Public Records Act Guidelines)",high,False
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,RI,openai/gpt-oss-120b:free,3,response_time,10 business days with 20 business days extension,"In Rhode Island, agencies must respond to public records requests, including those for Medicaid records, within 30 days of receipt of the request.","https://www.ag.ri.gov/sites/default/files/documents/FOIA%20Guide.pdf (Rhode Island Attorney General, Public Records Law Guide)",high,False
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,CA,openai/gpt-oss-120b:free,1,response_time,10 calendar days  with 14 calendar days extension,"In California, agencies must respond to public records requests within 10 calendar days of receipt, unless the request is for records that are exempt or require a longer review, in which case the agency may extend the response time by an additional 14 days after providing a written notice of the extension. Medicaid records are handled by the Department of Health Care Services, which follows this 10‑day initial response requirement.",https://www.dhcs.ca.gov/Pages/FOIA.aspx,high,True
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,CA,openai/gpt-oss-120b:free,2,response_time,10 calendar days  with 14 calendar days extension,"California agencies, including the Department of Health Care Services (which administers Medicaid), must respond to public records requests within 10 business days after the request is received, unless an extension is granted for valid reasons.",https://www.dhcs.ca.gov/about/Pages/Public-Records-Act.aspx (California Department of Health Care Services – Public Records Act page),high,False
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,CA,openai/gpt-oss-120b:free,3,response_time,10 calendar days  with 14 calendar days extension,"In California, state agencies must respond to public records requests within 10 calendar days. If the request requires a search for the records, the agency may extend the initial response period by an additional 10 days, for a total of up to 20 calendar days. This applies to requests for Medicaid records, which are handled by the California Department of Health Care Services or other relevant state agencies.",https://www.courts.ca.gov/11233.htm (California Public Records Act – response time requirements),high,True
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,CA,openai/gpt-oss-120b:free,5,response_time,10 calendar days  with 14 calendar days extension,"California agencies must respond to public records requests, including those for Medicaid records, within 10 business days of receipt. They may extend this period by an additional 14 business days if a reasonable explanation is provided.","California Public Records Act, Government Code § 552.12 (official state website: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=GOV&sectionNum=552.12)",high,False
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,TX,openai/gpt-oss-120b:free,1,response_time,10 business days,"Under the Texas Public Information Act, state agencies—including those that administer Medicaid—must respond to a request for public records within 10 business days. The agency may request a 10‑day extension if it needs more time to locate, review, or redact the records, but must notify the requester of the extension and the new deadline.",https://www.texasattorneygeneral.gov/open-government/public-information-act,high,True
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,TX,openai/gpt-oss-120b:free,4,response_time,10 business days,"Under the Texas Public Information Act, state agencies—including the Texas Health and Human Services Commission, which administers Medicaid—must respond to a public records request within 10 business days after the request is received, unless the request is overly broad or requires an exception, in which case the agency must notify the requester of the delay and the reasons for it within that same 10‑day period.",https://www.texasattorneygeneral.gov/public-information-act,high,True
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,TX,openai/gpt-oss-120b:free,5,response_time,10 business days,"Under the Texas Public Information Act, agencies must respond to a public records request within 10 business days. This deadline applies to requests for Medicaid records as well. Agencies may request a 10‑day extension for legitimate reasons, but the original response must be provided within the initial 10‑day period.","https://www.oag.texas.gov/consumer/publicinfo.htm (Texas Attorney General, Public Information Act guidelines)",high,True
What is the state-level administration address for {program} in {state}?,SNAP,MA,openai/gpt-oss-120b:free,1,address,"DTA Document Processing Center
P.O. Box 4406
Taunton, MA 02780-0420","Massachusetts Department of Transitional Assistance (DTA) – SNAP Administration, 1 Ashburton Place, 4th Floor, Boston, MA 02108",https://www.mass.gov/orgs/department-of-transitional-assistance,high,False
What is the state-level administration address for {program} in {state}?,SNAP,MA,openai/gpt-oss-120b:free,2,address,"DTA Document Processing Center
P.O. Box 4406
Taunton, MA 02780-0420","Massachusetts Department of Transitional Assistance (DTA), SNAP Division, 100 Morrissey Boulevard, Boston, MA 02120",https://www.mass.gov/contact-dta,high,False
What is the state-level administration address for {program} in {state}?,SNAP,MA,openai/gpt-oss-120b:free,3,address,"DTA Document Processing Center
P.O. Box 4406
Taunton, MA 02780-0420","Massachusetts Department of Transitional Assistance, 100 Morrissey Blvd, Boston, MA 02120",https://www.mass.gov/doc/dta-contact-information/download,high,False
What is the state-level administration address for {program} in {state}?,SNAP,MA,openai/gpt-oss-120b:free,4,address,"DTA Document Processing Center
P.O. Box 4406
Taunton, MA 02780-0420","Massachusetts Department of Transitional Assistance (DTA)
SNAP Administration Office
One Ashburton Place, 4th Floor
Boston, MA 02108",https://www.mass.gov/orgs/department-of-transitional-assistance,high,False
What is the state-level administration address for {program} in {state}?,SNAP,MA,openai/gpt-oss-120b:free,5,address,"DTA Document Processing Center
P.O. Box 4406
Taunton, MA 02780-0420","Department of Transitional Assistance (DTA), SNAP Division, 24th Floor, 60 Franklin Street, Boston, MA 02110",https://www.mass.gov/doc/supplemental-nutrition-assistance-program-snap-frequently-asked-questions/download,high,False
What is the state-level administration address for {program} in {state}?,SNAP,RI,openai/gpt-oss-120b:free,1,address,"RI Department of Human Services
P.O. Box 8709
Cranston, RI 02920-8787","Rhode Island Department of Human Services, SNAP Administration Office, 4419 W. Warwick Avenue, Providence, RI 02909",https://dhs.ri.gov/snap,high,False
What is the state-level administration address for {program} in {state}?,SNAP,RI,openai/gpt-oss-120b:free,2,address,"RI Department of Human Services
P.O. Box 8709
Cranston, RI 02920-8787","Rhode Island Department of Human Services, Office of Nutrition and Financial Assistance (SNAP), 1500 Capitol Street, Providence, RI 02908",https://health.ri.gov/services/snap/,high,False
What is the state-level administration address for {program} in {state}?,SNAP,RI,openai/gpt-oss-120b:free,3,address,"RI Department of Human Services
P.O. Box 8709
Cranston, RI 02920-8787","Division of Nutrition Assistance, Office of the Executive Director, Rhode Island Department of Human Services, 33 Westminster Street, Providence, RI 02903",https://dhs.ri.gov/programs/nutrition-assistance,high,False
What is the state-level administration address for {program} in {state}?,SNAP,RI,openai/gpt-oss-120b:free,4,address,"RI Department of Human Services
P.O. Box 8709
Cranston, RI 02920-8787","Rhode Island Department of Human Services, Food and Nutrition Services Division, 1455 Westminster Street, Providence, RI 02903",https://dhsri.gov/food-nutrition-services,high,False
What is the state-level administration address for {program} in {state}?,SNAP,RI,openai/gpt-oss-120b:free,5,address,"RI Department of Human Services
P.O. Box 8709
Cranston, RI 02920-8787","Rhode Island Department of Human Services, SNAP Division, 87 Kilvert St., Providence, RI 02906",https://dhs.ri.gov/benefits/snap,high,False
What is the state-level administration address for {program} in {state}?,SNAP,CA,openai/gpt-oss-120b:free,1,address,"California Department of Social Services
744 P Street
Sacramento, CA 95814","California Department of Social Services, Office of Food Assistance (CalFresh), 1446 N Street, Sacramento, CA 95814",https://www.cdss.ca.gov/Portals/9/CalFresh/CalFresh%20Contact%20Information.pdf,high,True
What is the state-level administration address for {program} in {state}?,SNAP,CA,openai/gpt-oss-120b:free,2,address,"California Department of Social Services
744 P Street
Sacramento, CA 95814","California Department of Social Services, CalFresh (SNAP) Administration, 1415 L Street, Sacramento, CA 95814",https://www.cdss.ca.gov/about-us/contact-us,high,True
What is the state-level administration address for {program} in {state}?,SNAP,CA,openai/gpt-oss-120b:free,3,address,"California Department of Social Services
744 P Street
Sacramento, CA 95814","California Department of Social Services, Food and Nutrition Programs Division, 800 Capitol Mall, Suite 1230, Sacramento, CA 95814",https://www.cdss.ca.gov/food-nutrition-programs/food-and-nutrition-programs-division,high,True
What is the state-level administration address for {program} in {state}?,SNAP,CA,openai/gpt-oss-120b:free,4,address,"California Department of Social Services
744 P Street
Sacramento, CA 95814","California Department of Social Services, CalFresh (SNAP) Administration
1020 O Street, Sacramento, CA 95814",https://www.cdss.ca.gov/inforesources/calfresh,high,True
What is the state-level administration address for {program} in {state}?,SNAP,CA,openai/gpt-oss-120b:free,5,address,"California Department of Social Services
744 P Street
Sacramento, CA 95814","California Department of Social Services, Office of Public Assistance, 1625 North Market Boulevard, Sacramento, CA 95834",https://www.cdss.ca.gov/inforesources/CalFresh/Contact-Us,high,False
What is the state-level administration address for {program} in {state}?,SNAP,NY,openai/gpt-oss-120b:free,1,address,"New York State Office of Temporary and Disability Assistance
40 North Pearl Street
Albany, NY 12243","New York State Office of Temporary Assistance (OTDA) – SNAP Administration
1 Washington Avenue
Albany, NY 12230",https://otda.ny.gov/about/office_locations/,high,False
What is the state-level administration address for {program} in {state}?,SNAP,NY,openai/gpt-oss-120b:free,2,address,"New York State Office of Temporary and Disability Assistance
40 North Pearl Street
Albany, NY 12243","Office of Temporary and Disability Assistance (OTDA)
Food Assistance Program (SNAP) Administration
10 Eagle Street, 2nd Floor
Albany, NY 12207",https://otda.ny.gov/programs/food-assistance/snap/,high,False
What is the state-level administration address for {program} in {state}?,SNAP,NY,openai/gpt-oss-120b:free,3,address,"New York State Office of Temporary and Disability Assistance
40 North Pearl Street
Albany, NY 12243","New York State Office of Temporary and Disability Assistance (OTDA), SNAP Administration
One Commerce Plaza, 99 Washington Avenue, Albany, NY 12231",https://otda.ny.gov/about/otda/locations/,high,False
What is the state-level administration address for {program} in {state}?,SNAP,NY,openai/gpt-oss-120b:free,4,address,"New York State Office of Temporary and Disability Assistance
40 North Pearl Street
Albany, NY 12243","New York State Office of Temporary and Disability Assistance (OTDA) – Food Assistance Program (SNAP)\nDivision of Food Assistance Services\nEmpire State Plaza\nOne New York Plaza, 2nd Floor\nAlbany, NY 12237-0611",https://otda.ny.gov/programs/snap/,high,False
What is the state-level administration address for {program} in {state}?,SNAP,NY,openai/gpt-oss-120b:free,5,address,"New York State Office of Temporary and Disability Assistance
40 North Pearl Street
Albany, NY 12243","New York State Office of Temporary and Disability Assistance (OTDA), Food and Nutrition Services (FNS) – 100 Washington Avenue, Albany, NY 12231",https://otda.ny.gov/programs/socialservices/food-nutrition-services/,high,False
What is the state-level administration address for {program} in {state}?,SNAP,TX,openai/gpt-oss-120b:free,1,address,"Texas Health and Human Services Commission
P.O. Box 149027
Austin, TX 78714-9027","Texas Health and Human Services Commission
SNAP (Food Stamp) Program
P.O. Box 12046
Austin, TX 78711-2046",https://hhs.texas.gov/services/food/supplemental-nutrition-assistance-program-snap/contact-us,high,False
What is the state-level administration address for {program} in {state}?,SNAP,TX,openai/gpt-oss-120b:free,2,address,"Texas Health and Human Services Commission
P.O. Box 149027
Austin, TX 78714-9027","Texas Health and Human Services Commission, Food Assistance Program (SNAP), P.O. Box 149021, Austin, TX 78714-9021",https://hhs.texas.gov/food-assistance/food-stamps,high,True
What is the state-level administration address for {program} in {state}?,SNAP,TX,openai/gpt-oss-120b:free,3,address,"Texas Health and Human Services Commission
P.O. Box 149027
Austin, TX 78714-9027","Texas Health and Human Services Commission, 1019 Rusk Street, Austin, Texas 78701",https://hhs.texas.gov/services/food/snap-food-benefits,high,False
What is the state-level administration address for {program} in {state}?,SNAP,TX,openai/gpt-oss-120b:free,4,address,"Texas Health and Human Services Commission
P.O. Box 149027
Austin, TX 78714-9027","Food Assistance Division, Texas Health and Human Services Commission, 1019 N. Lamar Street, Austin, TX 78701",https://hhs.texas.gov/services/food/food-benefits/supplemental-nutrition-assistance-program-snap,high,False
What is the state-level administration address for {program} in {state}?,SNAP,TX,openai/gpt-oss-120b:free,5,address,"Texas Health and Human Services Commission
P.O. Box 149027
Austin, TX 78714-9027","Texas Health and Human Services Commission, SNAP Division, 1019 Ross Avenue, 6th Floor, Austin, TX 78701",https://hhs.texas.gov/services/food/supplemental-nutrition-assistance-program-snap/contact-us,high,False
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,MA,openai/gpt-oss-120b:free,1,email,DPH.RAO@state.ma.us,OpenRecords@mass.gov,https://www.mass.gov/doc/open-records-request-guidelines-wic/pdf,high,False
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,MA,openai/gpt-oss-120b:free,2,email,DPH.RAO@state.ma.us,dta.wic@mass.gov,https://www.mass.gov/info-details/public-records-request-wic,medium,False
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,MA,openai/gpt-oss-120b:free,3,email,DPH.RAO@state.ma.us,records@mass.gov,Massachusetts Department of Transitional Assistance – Public Records Request page (https://www.mass.gov/info-details/public-records-request),high,False
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,MA,openai/gpt-oss-120b:free,4,email,DPH.RAO@state.ma.us,foia@dta.state.ma.us,https://www.mass.gov/doc/foia-request-contact-information-dta/pdf,high,False
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,MA,openai/gpt-oss-120b:free,5,email,DPH.RAO@state.ma.us,wic@mass.gov,https://www.mass.gov/info-details/wic-public-records-request,high,False
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,RI,openai/gpt-oss-120b:free,1,email,pamela.lopes@health.ri.gov,wic@health.ri.gov,https://www.health.ri.gov/programs/wic/,high,False
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,RI,openai/gpt-oss-120b:free,2,email,pamela.lopes@health.ri.gov,publicrecords@health.ri.gov,https://www.ri.gov/agencies/agency?agency=Department%20of%20Health,high,False
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,RI,openai/gpt-oss-120b:free,3,email,pamela.lopes@health.ri.gov,WIC@health.ri.gov,https://www.health.ri.gov/food-wic/contact/,high,False
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,RI,openai/gpt-oss-120b:free,4,email,pamela.lopes@health.ri.gov,wic@health.ri.gov,https://www.ri.gov/agencies/department_of_health/,medium,False
